Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Villa,Nabeul,2,1000,650000.0,5.0
Appartement,Sousse,1,101,270000.0,2.0
Appartement,Sousse,1,38,125000.0,1.0
Appartement,Nabeul,1,53,255000.0,1.0
Appartement,Tunis,1,240,355000.0,3.0
Appartement,Ariana,2,162,495000.0,3.0
Maison,Nabeul,1,90,140000.0,2.0
Appartement,Ariana,3,150,450000.0,4.0
Villa,Ariana,2,486,950000.0,6.0
Appartement,Ariana,3,300,1000000.0,5.0
Appartement,Tunis,3,657,2600000.0,8.0
Appartement,Nabeul,3,750,830000.0,4.0
Appartement,Ariana,5,120,38500.0,5.0
Villa,Ariana,2,295,985000.0,4.0
Appartement,Tunis,1,52,296600.0,1.0
Appartement,Tunis,1,135,450000.0,3.0
Maison,Sfax,2,303,350000.0,5.0
Villa,Sousse,2,322,440000.0,3.0
Villa,Sousse,3,449,580000.0,6.0
Appartement,Ariana,2,175,575000.0,3.0
Appartement,Sousse,3,146,390000.0,3.0
Appartement,Sousse,1,77,89000.0,2.0
Appartement,Tunis,1,100,260000.0,2.0
Appartement,Sousse,1,70,170000.0,1.0
Appartement,Sousse,3,107,330000.0,5.0
Appartement,Sousse,1,90,94000.0,2.0
Villa,Ben Arous,6,191,610000.0,9.0
Villa,Tunis,3,587,1800000.0,5.0
Appartement,Tunis,1,95,240000.0,2.0
Appartement,Ariana,2,190,800000.0,4.0
Appartement,Ariana,1,460,500000.0,4.0
Appartement,Ariana,2,149,580000.0,3.0
Villa,Tunis,0,90,150000.0,2.0
Appartement,Tunis,1,64,150000.0,2.0
Appartement,Sousse,1,100,360000.0,2.0
Appartement,Nabeul,0,110,400000.0,2.0
Appartement,Nabeul,0,145,520000.0,3.0
Villa,Ariana,2,500,360.0,7.0
Appartement,Tunis,1,145,265000.0,3.0
Appartement,Sousse,1,75,85000.0,2.0
Appartement,Tunis,0,15,100.0,1.0
Appartement,Ariana,1,117,280000.0,3.0
Villa,Ariana,6,410,950000.0,7.0
Villa,Ariana,1,240,980000.0,4.0
Villa,Ariana,5,2000,790000.0,6.0
Appartement,Ariana,2,139,400000.0,3.0
Appartement,Nabeul,2,150,650000.0,1.0
Maison,Ariana,2,240,440000.0,4.0
Villa,Tunis,4,662,1800.0,8.0
Appartement,Ben Arous,1,110,220000.0,3.0
Appartement,Ben Arous,1,80,125000.0,1.0
Appartement,Ben Arous,2,130,360000.0,1.0
Villa,Ariana,3,420,1200000.0,4.0
Appartement,Ben Arous,1,77,165000.0,2.0
Appartement,Sousse,2,255,430000.0,3.0
Appartement,Ariana,1,120,140000.0,3.0
Appartement,Ariana,2,207,249000.0,4.0
Appartement,Ariana,1,98.48,280000.0,2.0
Maison,Ariana,2,279,470000.0,3.0
Appartement,Ariana,2,135,250000.0,3.0
Maison,Monastir,01,130,230000.0,2.0
Appartement,Monastir,1,75,150000.0,2.0
