Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Tunis,,55,1,,Joli appart S1 bien meublé Jardins l'aouina,À Louer,950,1
Ariana,,227,4,,A VENDRE VILLA JUMELÉE À SOUKRA,À Vendre,970000,2
Tunis,,111,1,,à louer appartement studio meublé location par jour nuitée,À Louer,70,1
Ariana,S+3,120,3,,S+3 à Nour jafer,À Vendre,140000,1
Ariana,S+2,85,2,,S+2 à Nkhilette,À Louer,800,1
Ariana,,429,3,,Villa de 429m² à la petite Ariana,À Vendre,640000,2
Ariana,,135,3,,Appartement en s+3 à Ariana soghra,À Vendre,250000,2
Ariana,,207,4,,DUPLEX  de 207m² à Cité sahafa,À Vendre,249000,2
Tunis,,162,4,,JOLI S4 BIEN LUMINEUX HT STANDING à JARDINS L'AOUINA,À Vendre,358000,2
Ariana,,279,3,,Maison jumelée en vente à Cité Ghazela,À Vendre,470000,2
Tunis,S+1,70,1,,A LOUER S+1 – JARDINS LAOUINA – TEL 56306032 – FB.7126,À Vendre,860,1
Sousse,,83,2,,S2 proche de la mer en vente a chott mariem,À Vendre,338000,1
Tunis,,60,1,,À Louer : Deux Studios de Luxe Indépendants à Mutuelleville,À Louer,2000,1
Tunis,S+1,80,1,,A LOUER S+1 – LA SOUKRA – TEL 56306032- FB.6913,À Louer,1350,1
Tunis,,55,1,,JOLI STUDIO COMME NEUF CÔTÉ MONOPRIX WEHAT L'AOUINA,À Louer,850,1
Ariana,,240,3,,A VENDRE VILLA – LA SOUKRA – TEL 56306032 – FB.6715,À Vendre,950000,2
Tunis,,587,5,,À VENDRE : Villa de charme à Manar 3,À Vendre,1800000,3
Ariana,,265,4,,Un grand Duplex à Ennasr 2,À Vendre,655000,3
Ariana,,110,2,,a louer un appartement s+2 a Ariana,À Louer,800,1
Ariana,,40,1,,a Vendre s+1 aux Jardins d'El Menzah Il,À Vendre,,1
Ariana,S+3,105,3,,📍BORJ LOUZIR : APPARTEMENT S+3 À LOUER,À Louer,650,2
Tunis,S+1,0,1,,📍 MENZAH 9C : APPARTEMENT S+1 À LOUER,À Louer,1000,1
Ariana,S+3,130,3,,📍ENNASR 2 : APPARTEMENT S+3 A LOUER,À Louer,1600,2
Tunis,S+5,0,5,,📍LES BERGES DU LAC 1 : VILLA S+5,À Louer,4200,3
Ariana,S+7,400,7,,📍ENNASR 1: UNE VILLA S+7  A LOUER,À Louer,3800,4
Ariana,S+1,50,1,,📍ENNASR 2 : APPARTEMENT S+1 À VENDRE,À Vendre,,1
Ariana,,1750,1,,Local commercial à vendre,À Vendre,,1
Sfax,,False,False,,قطعة أرض للبيع مساحة  1100 متر مربع بأولاد يانق قرقنة طريق سيدي فرج,False,,False
Ben Arous,,20000,25,,maison d'hôte à vendre,À Vendre,,13
Tunis,,140,3,,a louer s+3 cite caravelle Menzah 4,À Louer,1400,3
Ariana,S+3,130,3,,📍 ENNASR 2 : APPARTEMENT S+3  À VENDRE,À Vendre,365000,1
Tunis,S+5,400,5,,VILLA S+5 A LOUER,À Louer,3400,4
Ariana,,70,1,,location par jour cité nasser Tunis ☎️24933824,À Louer,70,1
Ariana,,20,1,,📍 BORJ LOUZIR   : LOCAL COMMERCIAL À LOUER,À Louer,650,1
Tunis,,1,7,,bureau au centre urbain nord,À Louer,3000,4
Tunis,,1,1,,bureau a louer au centre urbain nord,À Louer,700,1
Ariana,,140,3,,appartement s4 rdc a Riadh El Andalous,À Louer,1100,2
Ariana,,400,5,,📍 CITE FAOUZ : VILLA A USAGE BUREAUTIQUE OU HABITATION À LOUER,À Louer,3500,6
Ariana,,80,1,,A VENDRE FOND DE COMMERCE D'UN LOCAL COMMERCIAL AUX JARDINS D’EL MENZAH 2,À Vendre,50000,1
Ariana,,70,1,,APPARTEMENT s+1 meublé à riadh El andalous,À Louer,1300,1
Ariana,S+1,70,1,,📍 CITÉ EL FAWEZ : APPARTEMENT S+1 À LOUER,À Louer,950,1
Tunis,,300,5,,📍 MUTUELLE VILLE : APPARTEMENT DUPLEX À LOUER,À Louer,4200,4
Tunis,,80,1,,studio meublé par nuitée a l'aouina,À Louer,,1
Ariana,,130,3,,APPARTEMENT s+3 à Riadh El Andalous,À Louer,1300,2
Ariana,,70,1,,s+1 jamais habite à Cité El fawez,À Louer,950,1
Ariana,S+3,0,3,,📍 RIADH EL ANDALOUS : APPARTEMENT S+3 À LOUER,À Louer,1300,1
Tunis,,110,3,,A louer appartement tout neuf moderne,À Louer,1300,1
Ariana,,70,1,,s+1 au rez-de-chaussée de villa à riadh El andalous,À Louer,780,1
Ariana,S+3,0,3,,📍 JARDINS D’EL MENZAH 1 : REZ-DE-CHAUSSÉE DE VILLA INDÉPENDANTE S+3 AVEC JARDIN À LOUER,À Louer,1500,1
Ariana,,130,2,,APPARTEMENT s+2 au rez-de-chaussée à riadh El andalous,À Louer,1200,1
Bizerte,,False,False,,Vente terrain à Menzel Jemil,False,210000,False
Ariana,,90,1,,A louer S1 vide à Ennassr 2,À Louer,1000,1
Tunis,,70,1,,Location vacances courte durée,À Louer,80,1
Tunis,,70,1,,location appartement cité les palmerais laouina,À Louer,100,1
Tunis,,60,1,,location appartement cité les palmiers l'aouina,À Louer,100,1
Tunis,,100,1,,Location vacances courte durée,À Louer,90,1
Sousse,,False,False,,A vendre Terrain 487 m² à chott mariem,False,750,False
Ben Arous,,False,False,,maison d'hôte à vendre,False,,False
Nabeul,,300,5,,IMMEUBLES 300M² TITRÉ A DAR CHAABANE,À Vendre,720000,5
Sfax,,False,False,,"فرصة تقسيم لا تعوض بطريق العين كم 10.5, زنقة بن سعيد",False,85000,False
Mahdia,,False,False,,Appartement DIRECT PROMOTEUR VUE DE MER,À Vendre,,False
Nabeul,,False,False,,Terrain 399 m² pieds dans l’eau à hammem ghzeez,False,440000,False
Sfax,,25,1,,كراء ستوديو مفروش طراز رفيع صفاقس المدينة,À Louer,80,1
Tunis,,160,6,,Apparemment cabinet médical,À Louer,1500,1
Sousse,,180,4,,étage de villa haut standing,À Vendre,440,1
Tunis,,False,False,,منزل للكراء,À Louer,,False
Tunis,,111,1,,à louer appartement studio meublé s1 ennasr location par jour nuitée,À Louer,80,1
Ariana,,350,350,,Infinix hot 40i,À Vendre,380,350
Tunis,S+3,180,3,,A VENDRE S+3 – WAHAT – TEL 56306032 – FB.7151,À Vendre,445000,1
Tunis,S+2,118,2,,A VENDRE S+2 – AOUINA –58713586 – FB.7089,À Vendre,290000,1
Tunis,S+1,68,1,,A LOUER - S+1 - AIN ZAGHOUEN - 50362627 - FB.7143,À Louer,1000,1
Tunis,S+3,195,3,,A VENDRE S+3 – AIN ZAGHOUAN NORD – TEL 58713586 – FB.7135,À Vendre,570000,2
Tunis,S+4,185,4,,A VENDRE S+4 – CITE EL WAHAT – TEL 58713586 – FB.6505,À Vendre,365000,2
Tunis,S+2,124,2,,A VENDRE S+2 – CITE WAHAT – TEL 58713586 – FB.6719,À Vendre,340000,2
Tunis,S+1,65,1,,A LOUER S+1 – WAHAT – 58713586– FB.7044,À Louer,1400,1
Tunis,S+1,72,1,,A VENDRE S+1 – JARDINS DE CARTHAGE – 58713586 – FB.7062,À Vendre,320000,1
Tunis,S+2,154,2,,A VENDRE S+2 – AIN ZAGHOUAN NORD – TEL 58713586 – FB.6899,À Vendre,680000,2
Tunis,S+1,60,1,,A LOUER S+1 – LA NOUVELLE SOUKRA– 58713586 – FB.6841,À Louer,1050,1
Tunis,S+1,64.9,1,,A VENDRE S+1 – CITE EL WAHAT – 58713586 – FB.7099,À Vendre,227000,1
Ben Arous,,70,3,,Maison à louer,À Louer,700,1
Tunis,,100,1,,Bureau en 4 espaces-100m²-CUN-IFCU108,À Louer,1900,0
Tunis,,172,4,,Bureau en 4 espaces - 172m² - CUN - IFCU55,À Louer,2600,0
Tunis,,305,9,,Bureau en 9 espaces - 305m² - Montplaisir- IFCM177,À Louer,4000,0
Tunis,,210,4,,Bureau en 5 especes-210m²-Montplaisir- IFCM135,À Louer,3000,0
Tunis,,100,3,,Bureau en 3 espaces - 100m² - CUN - IFCU60,À Louer,1950,0
Ben Arous,,135,4,,à vendre Maison à Mhamdia 135 متر,À Vendre,120000,1
Sousse,,520,4,,maison à vendre à sidiabdlehmid -sousse,À Vendre,420000,1
Nabeul,,100,2,,𝔸 𝕍𝔼ℕ𝔻ℝ𝔼 un bel appartement à Mrezga 29256226,À Vendre,,1
Sousse,S+2,133,2,,Appartement S+2 Spacieux avec superficie de 133 m² à Riadh 1,À Vendre,185000,1
Sousse,,1,2,,apparttement s+2 luxe à louer à kantaoui .,À Louer,1500,-2
Ben Arous,,147,3,,Appartement s+3 à Ezzahra,À Louer,280000,2
Tunis,,False,False,,FERME   17 ha   A  TUNIS,False,3400000,False
Tunis,S+1,55,1,,A VENDRE S+1 - CITE EL WAHAT - 50362627 - FB.7136,À Vendre,185000,1
Tunis,S+3,140,3,,A LOUER - S+3 - JARDINS EL AOUINA - 50362627 - FB.7147,À Louer,1200,1
Béja,,250,4,,Étagère de Villa Meublé Béja,À Louer,1350,2
Tunis,S+2,120,2,,A VENDRE S+2 – CITE WAHAT – TEL 58713586 – FB.7150,À Vendre,290000,1
Ariana,S+1,57,1,,Appartement en S+1,À Vendre,220000,1
Bizerte,,108,2,,Spacieux Appartement Au centre ville Ras Jebel,À Vendre,130,1
Nabeul,,False,False,,À VENDRE À HAMMAMET SUD!,False,165000,False
Bizerte,,60,3,,Chic Appartement style Américain Route de la plage Ras Jebel,À Vendre,,2
Tunis,,80,1,,appartement s1,À Louer,190,1
Ben Arous,,135,3,,vendre appartement s3,À Vendre,250000,1
Tunis,,150,3,,duplex la Marsa,À Louer,2300,1
Tunis,,80,1,,studio s1 la Marsa plage,À Louer,140,1
Ben Arous,,False,False,,À vendre 2 hectares à Mornag djbal Resas,False,1100000,False
Sfax,,303,5,,2 maisons a vendre,À Vendre,360000,2
Tunis,,113,2,,a vendre s+2 haut standing a ain Zaghouan,À Vendre,3300000,2
Tunis,,False,1,,a louer s+1 a la nouvelle soukra,À Louer,1100,1
Tunis,,1,1,,A vendre des appartements direct promoteur haut standing a la nouvelle soukra,À Vendre,,1
Tunis,,False,False,,a vendre s1 s2 a la nouvelle soukra,À Vendre,,False
Ben Arous,,150,2,,appartement s+2,À Louer,,1
Sousse,,620,13,,A VENDRE IMMEUBLE R+3 INACHEVER DE 620M2 COUVERT,À Vendre,310000,4
Sfax,S+2,128,2,,Appartement S+2 à Teniour,À Vendre,276000,2
Nabeul,,False,False,,Terrain d’habitation  260 m²  à cité merdes kelibia,False,110000,False
Sfax,,False,False,,Terrain route bouzayen km 10,False,110,False
Sousse,,47,1,,Bangalow à Kantaoui Marina,À Vendre,195000,1
Tunis,S+3,109,4,,Je vends mon appartement S+3 au Bardo,À Vendre,,2
Sousse,,112,6,,Maison à   Cité  Riadh érigée sur deux Niveaux,À Vendre,230000,2
Sousse,,400,7,,Villa de Charme à Sahloul 4 en Cours de  Finition,À Vendre,1350000,5
Sousse,,145,1,,Espace polyvalent  à Sahloul 4,À Vendre,185000,1
Sousse,S+1,60,1,,"(S+1) à Hergla Directe Promoteur , Prés de la Mer",À Vendre,160000,1
Tunis,S+3,100,3,,A louer un appartement S+3 en 1er étage avec ascenseur à la Goulette 2 mn de la plage a pied,À Louer,1300,1
Sousse,,False,False,,"Terrain Agricole 9649 m² à Kalaa Sghira, Deuxième Position de Rue Principale",False,100000,False
Sousse,,404,6,,Villa de  Charme à  Cité  Riadh 1 dans un  Quartier Calme,À Vendre,680000,4
Tunis,,41,1,,S1 Neuf  enreg 1%,À Vendre,169000,1
Ariana,,200,5,,A louer Bel appartement S 4 manzah8,À Louer,1350,2
Tunis,,40,1,,S1 neuf direct promoteur,À Vendre,169000,1
Tunis,,118,2,,S2 neuf enreg 1%,À Vendre,327000,1
Tunis,,58,1,,Joli appartement s1,À Vendre,183000,1
Tunis,,105,2,,S2 luxe au jardin de carthage,À Vendre,480000,2
Ariana,,1,3,,A louer Bel appartement S2 Ariana ville,À Louer,750,1
Sfax,,False,False,,Terrain à vendre avec une villa inachevée de deux étages séparés,False,580000,False
Ariana,,False,False,,A vendre beau terrain rawed plage 160m2 papiers en règle,False,35000,False
Ben Arous,,False,False,,bibliothèque,False,,False
Tunis,,1,3,,A louer Bel appartement S2 bien meublé manzah9,À Louer,1000,1
Nabeul,,180,3,,Duplex s+3 à Hammamet Centre,À Louer,2750,2
Tunis,S+1,60,1,,A louer un studio S+1 en 2em étage nouvelle constriction jamais habité a Bhar Lazreg coté les résidences IL9OBBI LA Marsa,À Louer,500,1
Sfax,,False,False,,À vendre terrain route ain 600m2 km7.5,False,190,False
Tunis,,16,1,,Bureau Privé,À Louer,600,2
Ariana,,1,2,,A louer Bel appartement S 1 près garde nationale jardins manzah,À Louer,630,1
Sfax,,False,False,,À vendre terrain 660m² à Route El Ain km 12 à 200m de la route principale,False,82000,False
Tunis,,65,1,,appartement lac 2 a cote de tunsia mall,À Louer,140,1
