Localisation,Configuration des pièces,Superficie,Chambres,Type de bien,Annonce,Type de transaction,Prix,Salles de bains
Ariana,S+3,356,3,,Une Villa en cours de finition S+3 à louer à La Soukra,À Louer,2500,3
Monastir,,150,3,,Un grans étage de villa standing à El Agba,À Louer,1150,1
Monastir,,False,False,,Terrain pour construction d'une villa,False,300000,False
Bizerte,,False,False,,Terrain Route Nadhour Bizerte.,False,270000,False
Tunis,S+2,78,1,,A LOUER S+2 – KRAM – TEL 56306032 – FB.7132,À Louer,799,1
Bizerte,,300,3,,Villa à Vendre à manzel jemil Bizerte,À Vendre,349999,2
Mahdia,,73,1,,𝒂̀ 𝒗𝒆𝒏𝒅𝒓𝒆 𝒂𝒑𝒑𝒂𝒓𝒕𝒆𝒎𝒆𝒏𝒕 𝒔+1 𝒗𝒖𝒆 𝒔𝒖𝒓 𝒎𝒆𝒓 𝒆𝒕 𝒑𝒊𝒆𝒅 𝒅𝒂𝒏𝒔 𝒍'𝒆𝒂𝒖 𝒂̀ 𝒎𝒂𝒉𝒅𝒊𝒂,À Vendre,380000,1
Ben Arous,,False,False,,Terrains 99581432/20992661,False,1500,False
Monastir,,60,1,,Un studio meublé haut standing,À Louer,550,1
Mahdia,,102,2,,𝐀 𝐥𝐨𝐮𝐞𝐫 𝐬+𝟐𝐯𝐮𝐞 𝐬𝐮𝐫 𝐦𝐞𝐫   𝐫𝐳 𝐟𝐚𝐭𝐢𝐦𝐢𝐝𝐞 mahdia,À Louer,700,1
Mahdia,,89.5,2,,𝑫𝒆𝒔 𝑨𝒑𝒑𝒂𝒓𝒕𝒆𝒎𝒆𝒏𝒕𝒔 𝒔+2 𝑵𝒆𝒖𝒇 𝑨̀ 𝑽𝒆𝒏𝒅𝒓𝒆 𝑨̀ 𝒎𝒂𝒉𝒅𝒊𝒂,À Vendre,179000,1
Mahdia,,270,4,,𝒂̀ 𝒗𝒆𝒏𝒅𝒓𝒆 𝒅𝒆𝒖𝒙 𝒂𝒑𝒑𝒂𝒓𝒕𝒆𝒎𝒆𝒏𝒕𝒔 𝒊𝒏𝒅𝒆́𝒑𝒆𝒏𝒅𝒂𝒏𝒕 𝒂̀ 𝒆𝒓𝒓𝒂𝒐𝒖𝒅𝒉𝒂 𝒎𝒂𝒉𝒅𝒊𝒂,À Vendre,450000,2
Bizerte,,False,False,,Terrain à Vendre à manzel abd rahmen Bizerte,False,270820,False
Monastir,,400,4,,Grande Villa meublée en centre ville de Monastir,À Louer,1400,2
Bizerte,,90,2,,Appartement meublé à louer en plein centre ville Bizerte,À Louer,700,1
Bizerte,,100,2,,Appartement RDC à corniche Bizerte,À Louer,680,1
Monastir,,60,1,,S plus Un standing pour bureau,À Louer,450,1
Bizerte,,False,False,,Terrain à vendre à Manzel Jemil Bizerte,False,90300,False
Monastir,,75,2,,A vendre s plus deux,À Vendre,150000,1
Bizerte,,120,2,,appartement à vendre à oued l marj Bizerte,À Vendre,97000,1
Monastir,,60,1,,Location S plus 1 haut standing courte et moyenne période,À Louer,8.88889E+14,1
Ariana,S+3,228,3,,A VENDRE S+3 D'UN SUPERFICIE 228 M² À CHOTRANA,À Vendre,630000,2
Monastir,,100,2,,Location S plus 2 haut standing courte et moyenne période,À Louer,8888888886,1
Monastir,,False,False,,"un terrain agricole El Basatine ""Sakkoui""",False,300000,False
Monastir,,102,2,,Appartement à  Vendre à l'R6,À Vendre,170000,1
Monastir,,64,1,,S plus un à frina,À Vendre,125000,1
Tunis,,100,2,,A louer appartements meublés par nuitée ou mensuel,À Louer,80,1
Tunis,S+2,123,2,,A LOUER S+2 – JARDINS DE CARTHAGE – TEL 56306032 – FB.2109,À Louer,2198,1
Monastir,,350,4,,Une semaine dans une belle villa meublée,À Louer,1400,3
Monastir,,120,2,,Un Appart meublé à la zone touristique,À Louer,1300,1
Monastir,,100,2,,Bureau à Louer – 100 m² – Monastir Centre-Ville,False,1200,2
Tunis,S+2,102,2,,A VENDRE S+2 – BHAR LAZREK – TEL 56306032 – FB.7149,À Vendre,349999,1
Monastir,,203,2,,Maison indépendante à vendre à Téboulba,À Vendre,125000,1
Monastir,,False,False,,"Immeuble semi-inachevé à Chraf, à 2 pas de la mer",False,400000,False
Tunis,S+3,138,3,,A VENDRE S+3 – CITE WAHAT – TEL 53672333– FB.6214,À Vendre,290000,2
Monastir,,219,1,,Maison indépendante proche de la mer en vente,À Vendre,174999,1
Monastir,,208,5,,Villa proche de la mer à vendre,À Vendre,315000,3
Monastir,,1970,6,,Local commercial sur la route principal,À Louer,4000,1
Tunis,,100,3,,maison avendre,À Vendre,,2
Monastir,,250,3,,Villa meublée à skanes,À Louer,900,1
Tunis,,55,1,,appartement S1 au jardin de Carthage,À Louer,1400,1
Ariana,,165,3,,À vendre S3 Direct promoteur,À Vendre,495000,3
Nabeul,,280,6,,Maison pieds dans l’eau à plage Ain Grinz Kelibia,À Vendre,1350000,3
Bizerte,,False,False,,Terrain a vendre,False,,False
Tunis,,120,2,,Appartement neuf revêtements de qualité,À Vendre,400000,1
Tunis,,520,6,,Villa 520 m² à Menzah 9 B,À Vendre,980000,4
Ariana,,127,2,,Bureau H+2 à La Soukra,À Louer,1350,1
Tunis,,1202,2,,Location immeuble bureautique au Lac 1,À Louer,40000,6
Ariana,S+1,67,1,,Vente appartement S+1 à Riadh Landalous,À Vendre,195000,1
Ariana,S+4,1500,4,,A louer villa S+4 avec spacieux jardin.,À Louer,3800,2
Tunis,,100,2,,s2 meublée l'aouina,À Louer,1300,2
Ariana,,80,1,,cabinet médical à riadh El andalouse,À Louer,1000,1
Tunis,,300,5,,restaurant lac 1,À Louer,15000,4
Tunis,,200,3,,appartement S3 Marsa plage,À Louer,3000,2
Ariana,S+2,124,2,,À louer un S+2  à Chotrana 1,À Louer,1650,1
Tunis,S+2,98,2,,appartement S+2 au berges du lac 1,À Vendre,450000,1
Ariana,,80,1,,Bureau A+1 Ariana pas loin de hôpital Mahmoud el Matri,À Louer,1000,1
Ariana,,80,1,,Bureau à Ariana,À Louer,1000,1
Tunis,S+3,165,3,,appartement S+3 les jardins de Carthage,À Vendre,680000,2
Ariana,S+4,182,4,,Appartement S+4 à La Soukra,False,550000,2
Sfax,,150,3,,ETAGE DE VILLA A LOUER RTE DE TENIOUR KM 3,À Louer,,1
Tunis,S+2,120,2,,S+2 au berges du lac 2,À Louer,2300,1
Nabeul,S+1,60,1,,"A Vendre Appartement S+1 Avec Meuble à AFH Mrezga, Nabeul",À Vendre,260000,1
Nabeul,S+1,64,1,,"A Vendre Appartement S+1 Très Haut Standing Sur Plan à AFH Mrezga, Nabeul",À Vendre,231000,1
Nabeul,S+1,70,1,,"A Vendre Appartement S+1 Haut Standing à AFH Mrezga, Cité El Wafa, Nabeul",À Vendre,240000,1
Sousse,,110,3,,🛑A louer Etage de villa s+3 sans meuble derriere carrefour market khzema ✅ Chauffage centrale ✅ Entree indepondante ✅ Cuisine equipee ✅ Prix : 900 dt ✅ Contact : 28 550 101,À Louer,900,1
Nabeul,S+4,240,4,,"A louer villa S+4 avec piscine à Cité Diamant , Hammamet Nord",À Louer,3500,3
Nabeul,S+3,300,3,,"Location annuelle : Une belle villa S+3 Avec Jardin à Jasmin, Nabeul",À Louer,2500,2
Nabeul,,150,6,,A Louer étage Composé De trois Appartements Haut Standing à Centre-ville Nabeul,À Louer,2300,3
Nabeul,,834,4,,"A Vendre Une Magnifique Villa Avec Grand Jardin à Sidi Mahersi, Nabeul",À Vendre,1600000,3
Nabeul,S+2,87,2,,"A Vendre Etage De Villa S+2 Situé Dans Une Cité Résidentielle Au Bord De La Mer à Lido, Nabeul",À Vendre,95000,2
Nabeul,,False,False,,"A vendre terrain d'angle à cité El Riyadh, Nabeul",False,382000,False
Nabeul,,700,1,,"A Louer Daux étages De Superficie 700m² Situé Sur Une Route Principale à Beni khiar, Nabeul",À Louer,3500,1
Nabeul,S+3,110,3,,"À Vendre : Splendide Appartement S+3 avec Vue sur Mer à Lido, Nabeul",À Vendre,320000,2
Nabeul,S+1,68,1,,"A Vendre Appartement S+1 Très Haut Standing à AFH Mrezga, Hammamet",À Vendre,247000,1
Nabeul,S+2,200,2,,A Vendre Maison De Plain-pied En S+2 à Hammamet Nord,À Vendre,330000,1
Sousse,,70,1,,🛑A louer  app s+1 meublée a menchiya hammam Sousse pour longue durée . l'appartement avec place de parking sous sol disponible a partir du 9. ✅décembre ✅chauffage centrale  ✅climatiseur 💰prix : 900 dt ☎️contact : 28 550 101,À Louer,900,1
Tunis,S+2,97,2,,A VENDRE S+2 – BHAR LAZREK – TEL 56306032 – FB.7148,À Vendre,340000,1
Ariana,,75,1,,A louer S1 meublé de 75m2 à cité les palmeraies,À Louer,1350,1
Bizerte,,False,False,,A Vendre 7 lots  constructible Au centre Ville Ras Jebel Bizerte,False,,False
Ariana,,120,2,,A Louer appartement s2 à Jardin El Menzah,À Louer,1250,1
Tunis,,50,2,,شقة مفروشة في تونس العاصمة باليوم,À Louer,80,1
Tunis,,135,3,,a louer   aprt  ( S + 3 )  la marsa,À Louer,1600,2
Ariana,,110,2,,À louer S2 très spacieux,À Louer,760,1
Tunis,S+2,95,3,,A louer Spacieux S+2 à Résidence Narjes - Laouina,À Louer,1170,1
Sousse,,75,2,,شقة  مفروشة للبيع,À Vendre,110000,1
Sfax,S+3,165,3,,Appartement S+3 meublé à Route de Tunis km1.5,À Louer,1800,2
Ariana,,460,4,,Borj-Touil locaux commerciaux à vendre,À Vendre,500000,1
Ben Arous,S+5,340,5,,Vente Villa 2 S+5 à Nouvelle Médina 3,À Vendre,590000,2
Ariana,,78,2,,Borj-Louzir S2 usage bureau à vendre,À Vendre,219000,2
Tunis,,78,1,,Laouina bureau à louer,À Louer,800,1
Tunis,S+3,1,3,,🏠IMMO.GRIRA À Louer : Appartement  S+3  à la marsa ville dans un quartier calme et sécurisée proche de toutes commodités.,À Louer,900,1
Tunis,,False,False,,Laouina terrain 519² à vendre,False,,False
Ariana,S+2,95,2,,Nour Jaafar prés institut Esprit S+2,À Louer,800,1
Ariana,,400,1,,Chotrana Nour Jaafar Open Space 400 m,À Louer,2500,1
Tunis,S+2,90,2,,Ain- zaghouan S+2 à vendre,À Vendre,200000,1
Tunis,,40,1,,L'Aouina local 40m² a louer,À Louer,1100,1
Tunis,S+3,138,3,,A VENDRE S+3 – CITE WAHAT – TEL 58713586 – FB.6214,À Vendre,290000,2
Tunis,,175,3,,L'Aouina à vendre appt s+3 -175m²,À Vendre,405000,2
Ben Arous,,140,3,,A louer 1er étage de villa s+3 avec garage à nouvelle medina 3,À Louer,900,2
Tunis,,50,1,,Laouina local com. 50 m² mezzanine à louer,À Louer,2000,1
Ben Arous,,110,3,,appartement s+3 à boumhel bassatine,À Louer,850,2
Ben Arous,,150,3,,🏠HAMMAM-LIF ; à LOUER joli appt 𝐒+3 Haut stg🏠,À Louer,,2
Tunis,S+4,200,4,,Ain-Zaghouan nord S+4 meublé à louer,À Louer,3500,3
Tunis,,1,4,,Duplex s4 avec jardin et piscine à La Marsa MDL0008,À Louer,3400,1
Ben Arous,,70,1,,Appartement s+1 boumhel bassatine,À Louer,820,1
Sousse,,120,2,,A louer appartement meublée  vue mer s+2 à hammam Sousse à cote restaurant le QG,À Louer,1300,1
Sousse,,100,2,,A louer appartement meublée  vue mer s+2 à hammam Sousse à cote restaurant le QG,À Louer,1300,1
Sousse,,107,3,,A Vendre App s+3  spacieux a #sahloul zone lycée pilote,À Vendre,280000,1
Sousse,,95,2,,A vendre appartement s2  vue mer  à résidence Folla  chatt mariem sousse,À Vendre,500000,2
Tunis,S+2,120,3,,A LOUER APPARTEMENT HAUT STANDING S+2 AU BARDO,À Louer,,1
Ben Arous,S+2,100,2,,📢 Appartement S+2 à Vendre Tecnocasa Nouvelle Medina 3 met en #Vente un #appartement S+2,À Vendre,155000,2
Monastir,,200,5,,A vendre villa style américain 2 étage sur la route principal devant clinque sahel ksar hlal,À Vendre,600000,2
Sousse,,False,False,,"Une opportunité à ne pas rater ""A vendre 4  appartements à corniche Sousse """,False,550000,False
Sousse,,105,2,,A louer duplex  s+2 sans meuble à sahloul,À Louer,850,1
Ben Arous,S+3,134,3,,Offre-de-location A-Louer S+3 premier étage,À Louer,1000,2
Tunis,S+1,65,1,,S+1 avec jardin Ain Zaghouan Nord,À Louer,1250,1
Ben Arous,S+3,128,3,,#Nouvelle-Offre📢 #A-VENDRE 🔥🔥#S+3 avec une superficie de 128m².,À Vendre,295000,2
Ben Arous,S+4,168,4,,Appartement S+4 à vendre,À Vendre,440000,2
Ben Arous,,100,3,,Etage de villa à louer,À Louer,800,2
Ben Arous,S+3,140,3,,Appartement S+3 à louer,À Louer,850,2
Ben Arous,,150,False,,Vente de fond de commerce,À Vendre,170000,False
Ben Arous,S+2,85,2,,Appartement S+2 à vendre,À Vendre,150000,1
Ben Arous,S+2,105,2,,Appartement S+2 à louer,À Louer,1300,1
Ben Arous,S+3,136,3,,S+3 en vente,À Vendre,255000,2
Ben Arous,S+2,72,2,,Appartement S+2 à vendre,À Vendre,110000,1
Ben Arous,,25,False,,Local commercial à louer,À Louer,1200,1
Ben Arous,,410,5,,Villa individuelle en vente,À Vendre,700000,4
Ben Arous,S+2,75,2,,Appartement S+2 à vendre,À Vendre,160000,1
Ben Arous,S+3,143,3,,Appartement S+3 à louer,À Louer,900,2
Sousse,,95,2,,"À louer un appartement   Vue mer ""meublé "" a khezama zone touristique",À Louer,,1
Sousse,,150,2,,"À louer un coquet appartement""location estival """,À Louer,,2
Sousse,,55,1,,A louer studio s0  a  a cote clinique salem,À Louer,850,1
Sousse,S+2,144,2,,A vendre  appartement meublée haut standing  S+2 à khezema zone touristique,À Vendre,950000,2
Ben Arous,S+3,127,3,,Tecnocasa Nouvelle Medina  met en #vente   un #appartement  S+3 avec une superficie de 127m².,À Vendre,240000,2
Sousse,,False,False,,A vendre immeuble R+4 hay riadh sousse a coté rond point l ghazeli,False,,False
Sousse,,False,False,,A vendre fond de commerce un joli café  dans un agréable emplacement à khezema Sousse,False,700000,False
Sousse,,False,False,,A vendre immeuble R+4 a chatt Mariem côté mer,False,,False
Sfax,,False,False,,"A vendre terrain fait le coin avec deux entrée ""شرقي قبلي "" a AFH a Sfax ( Route de  Gremda)",False,230000,False
Sousse,,False,False,,#A #vendre  fond de commerce (café resto)  Bien équipé avec un matériel en bon état dans un agréable emplacement à sahloul Yasser Arafat   .,False,450000,False
Sousse,,84,2,,A louer appartement  meublée s+2 location estival  à kantaoui  se compose de :,À Louer,,1
Sousse,,145,3,,appartement s+3 sahloul4,À Louer,1500,3
Sousse,,False,False,,A louer ou a vendre local commercial GP1 khezema,False,7000,False
Sousse,,False,False,,A vendre terrain à kantaoui,False,3000000,False
Sousse,S+3,180,3,,A vendre Spacieux appartement S+3  à chatt mariem,À Vendre,480000,2
Sousse,,False,False,,A vendre Locale commerciale au rdc de 220 m² zone hôpital farhat hached,False,,False
Sousse,,False,False,,A vendre 2 lots  a chatt mariem,False,,False
Sousse,,False,False,,A vendre trois terrain à sahloul  en face kiosque Shell,False,,False
Ben Arous,S+2,122,2,,Nouvelle-Offre📢 #A-VENDRE 🔥🔥#S+2 avec une superficie de 122m².,À Vendre,230000,2
Nabeul,,110,1,,appartement a jinen lmansoura avec facilité,À Vendre,149997,1
Sousse,S+2,90,2,,A  louer  Appartement  jamais habité S+2 usage habitation ou bureautique à  à sahloul,À Louer,1500,1
Ariana,,137,3,,À louer Bureau H+3 à Charguia 2,À Louer,2000,2
Nabeul,S+2,136,2,,S+2 de Luxe avec un grand jardin dans une résidence avec piscine à AFH Mrezga Nabeul,À Vendre,435700,1
Tunis,S+1,65,1,,A VENDRE – S+1 – WAHAT – TEL 52156061- FB.7142,À Vendre,227000,1
Monastir,,60,1,,Jolie appartement 💡,À Louer,,1
Tunis,S+3,140,3,,"Apparemment S+3 Rénové au RDC, El Menzah 9A",À Louer,1450,2
Ben Arous,,220,6,,A vendre une villa sur deux niveaux séparé a la nouvelle medina,À Vendre,,2
Ben Arous,S+2,70,2,,A vendre S+2,À Vendre,115000,1
Ariana,,78,1,,a louer appartement s+1  meuble,À Louer,,1
Monastir,,False,False,,أرض للبيع بمسجد عيسى المنستير🌳🔥🔥,False,,False
Sousse,,False,False,,"Terrain destiné pour une Promotion Immobilière, Fait l'angle à Bouhsina",False,550000,False
Nabeul,,180,False,,Appartement Canal 690,À Vendre,690000,3
Sousse,S+1,70,1,,(S+1) à Sahloul Directe Promoteur,À Vendre,240000,1
Monastir,,118,2,,A Louer pour les vacances :,À Louer,,1
Sousse,S+3,146,3,,"(S+3) Zone Touristique Corniche , Près de la Mer avec  Place de Parking au  Sou  Sol",À Vendre,390000,3
Sousse,,220,1,,Local Commercial   à Bouhsina el Ghazali,À Louer,3500,0
Sousse,S+2,76,2,,(S+2) à Bouhsina el Ghazali avec  Place de  Parking au Sous Sol,À Vendre,279000,1
Sousse,,False,False,,Terrain Agricole 2 Hectar et 8815 m² à Kalàa  Kbira Sur la Route Principale,False,500000,False
Sousse,,519,4,,Villa  de Plain-Pied à  Khezema EST,À Vendre,850000,3
Tunis,S+2,120,3,,A louer rez de chaussée S+2 à El wardia 4,À Louer,,1
Tunis,,200,2,,A LOUER DEPOT – Dar Fadhel – TEL 52026677 – FB.7090,À Louer,1500,1
La Manouba,,False,False,,terrain vue panoramique,False,68,False
Ariana,,238,4,,A vendre VILLA INACHEVEE 238m2 à Borj Louzir,À Vendre,370000,3
Ariana,S+1,80,1,,A vendre APPARTEMENT S+1 neuf à Chotrana 1,À Vendre,244000,1
Ariana,,300,3,,A louer DEPOT 300m2 à BORJ LOUZIR,À Louer,1700,1
Ben Arous,,245,2,,A louer DEPOTS NEUFS à Megrine Sidi Rzig,À Louer,3640,1
Ariana,,1100,3,,A vendre DEPOT / ATELIER / USINE 1100m2 à charguia 1,À Vendre,4200000,1
Ariana,S+9,700,9,,A louer Villa bureautique S+9 à La Soukra,À Louer,7000,4
Tunis,,104,2,,A louer appartement S2 neuf jamais habite avec ppkss a la nouvelle soukra el wahatt,À Louer,1300,1
Tunis,,1120,0,,A louer immeuble neuf moderne 1120 m² à Mutuelle ville,À Louer,32700,8
Tunis,,40,2,,Bureau en 2 espaces - 40m²-Tunis- IFCT245,À Louer,1000,0
Ariana,,150,3,,APPARTEMENT EN S3 DE 150M² AUX JARDINS DEL MENZAH 2,À Vendre,455000,2
Tunis,,180,3,,SALON DE THE - FOND DE COMMERCE ET MURS -  A VENDRE,À Louer,,2
Tunis,,173,3,,Appart en rez de chaussée cite khalil,À Vendre,500000,2
Tunis,,500,4,,A VENDRE VILLA – AOUINA – TEL 52026677 – FB.4736,False,,3
Tunis,,50,2,,super s1 haut standing meuble neuf a notre dame,À Louer,1300,1
Ben Arous,,False,False,,A VENDRE TERRAIN – RADES – TEL 52026677– FB.7119,False,1748600,False
Tunis,,70,2,,A VENDRE- FOND DE COMMERCE–CITE WAHAT– TEL 52026677– FB.6969,À Vendre,120000,2
Tunis,,80,1,,à louer des bureaux h+1 neufs au bardo,À Louer,850,1
Tunis,,120,2,,A louer étage de villa s3 à saidia,À Louer,1000,2
Tunis,,65,False,,A louer Bureau H+2 au Bardo,À Louer,1000,2
Tunis,,70,1,,A louer appartement s1 au Bardo 2,À Louer,680,1
Tunis,,100,2,,location appartement hst s2 au Bardo,À Louer,1050,1
Nabeul,,100,2,,برطمان روعة و في قمة الضخامة و الفيانة 📍الزهرة -قليبية مطلة على البحر,À Vendre,180000,1
Sousse,,1,2,,Appartement Meublé s+2 à khzema -ouest,À Louer,1500,2
Tunis,S+3,200,3,,A louer Etage de villa S+3 au bardo,À Louer,1200,1
Sfax,,170,2,,Appartement meublé Sfax Nasrya,À Louer,120,1
Ariana,S+5,220,4,,A LOUER – S+5 – SOUKRA – TEL 52156061 – FB.7084,À Louer,1498,2
Tunis,S+3,140,3,,A LOUER – S+3 – wahat – TEL 52156061- FB.6990,À Louer,1599,2
Monastir,S+1,48,1,,Appartement S+1 à vendre,À Vendre,155000,1
Sfax,,85,3,,APPARTEMENT MEUBLÉ Â LOUER,À Louer,900,1
Ariana,,120,2,,A LOUER LOCAL GERANCE LIBRE – borj baccouche – TEL 52026677 – FB.7128,À Louer,2500,1
Ariana,S+2,170,2,,A LOUER S+2 – LA SOUKRA – 52026677– FB.7117,À Louer,1500,1
Tunis,,116,2,,A louer S2 neuf avec pace de parking sous sol à la nouvelle soukra,À Louer,1350,1
Ariana,,1300,8,,dépôt ou bien usine en charpente à l'ariana,À Louer,,2
Ariana,,59,1,,Appart S1 Julia à Vendre à Ennasr 2,À Vendre,190000,1
Sousse,S+1,70,1,,MAGNIFIQUE APP S+1 PIED DANS L'EAU A🔥CHATT-MARIEM,À Louer,800,1
Sousse,,False,False,,TERRAIN DE 705 M2 PRÈS DE ROND-POINT🔶SHOES CENTRE,False,360,False
Sousse,,156,2,,JOLIE VILLA DERRIÈRE💥EPI SAHLOUL,À Vendre,240000,1
Nabeul,,229,3,,maison a  AFH kelibia independant,À Vendre,330000,2
Tunis,,65,2,,A louer bureau au 1er étage au Centre Urbain Nord,À Louer,1100,1
Tunis,,60,2,,grand studio s1 haut standing meuble neuf a notre dame,À Louer,1500,1
Tunis,,120,3,,A louer appartement s3 hst au Bardo,À Louer,1200,1
Bizerte,,170,3,,Réf 2553 : une belle villa a corniche bizerte,À Vendre,600000,2
Bizerte,,430,3,,Une Villa Haut standing à vendre à Bhira Bizerte,À Vendre,600000,1
Tunis,,False,False,,iPhone 16 pro,False,3600,False
Tunis,S+3,140,2,,A LOUER DUPLEX S+3 – JARDINS L’AOUINA – TEL 53672333– FB.7146,À Louer,1500,2
Tunis,S+2,64,1,,A VENDRES+2 – JARDINS EL AOUINA – TEL 56306032 – FB.6501,À Vendre,210000,1
Tunis,,100,2,,A louer appartement s2 vide très propre avec place de parking sous sol  à cité et l wahat,À Louer,1000,1
Tunis,,165,4,,A vendre appartement S4 à Alain savary,À Vendre,385000,2
Tunis,,137,2,,A vendre bureau S2  à Alain savary,À Vendre,375000,2
Nabeul,,120,3,,Av 2maisons à birbourgba99958728,À Vendre,170000,2
Tunis,S+2,90.9,2,,A VENDRE – S+2 – CITE EL WAHAT -TEL56306032 – FB. 7092,À Vendre,263610,1
Ariana,S+1,65,1,,A VENDRE S+1 – CHOTRANA 1 – TEL 56306032 – FB.7130,À Vendre,165000,1
Tunis,,185,4,,Un beau RC d'une villa,À Vendre,230000,1
Nabeul,,False,False,,Terrain à vendre à Kélibia la blanche,False,109999,False
Ben Arous,,1000,False,,Dépôt Dell à Louer à Rades,À Louer,5500,0
Sousse,,False,False,,UNE FERME DE 4200 m² A KALAA💎CONTENANT UNE STUDIO EN BOIS,False,120000,False
Sousse,,200,3,,TRÈS CHIC VILLA SUR DEUX FACADES A❤CHATT MARIEM,À Vendre,420000,1
Ariana,S+3,120,1,,A LOUER S+3 – LA SOUKRA – TEL 56306032 – FB.6993,À Louer,1300,1
Tunis,,80,4,,Bureau en 4 espaces - 80m²- Montplaisir- IFCM165,À Louer,1300,0
Tunis,,240,7,,Bureau en 7 espaces-240m²-CUN-IFCU132,À Louer,5000,0
La Manouba,S+2,130,2,,A louer Appartement S+2 à Manouba,À Louer,900,1
Tunis,,290,8,,Bureau en 8 espaces-290m²-CUN-IFCU104,À Louer,6000,0
Tunis,,255,0,,Open space - 255m² - Montplaisir - IFCM173,À Louer,5315,0
Tunis,,120,0,,Bureau en 5 espaces-120m²-CUN-IFCU116,À Louer,2766,0
Tunis,,60,1,,A louer appartement s1 haut standing a cité el wahatt,À Louer,900,1
Tunis,,1,2,,Appartement s2 aux jardins de carthage zal1271,À Louer,2000,1
Tunis,S+0,60,1,,A LOUER – S+0 – AIN ZAGHOUAN- TEL 58713586  – FB.7140,À Louer,850,1
Sousse,,False,False,,TERRAIN COMMERCIAL A KHZAMA OUEST,False,2100,False
Sousse,,65,1,,UN BELLE APP PRES DE MONOPRIX LAKWESSE,À Vendre,99000,1
Sousse,,False,False,,UN BEAU TERRAIN A💎CHATT MARIEM SOUSSE,False,64000,False
Sousse,,95,2,,UN TRÈS BELLE APP A🔴 ROUTE DE LA PLAGE HAMMEM SOUSSE,À Louer,800,1
Ariana,,124,False,,appart vivian a vendre a jaafer raoued,À Vendre,195000,False
Ariana,,False,False,,Terrain à Ariana (344 m),False,128,False
Tunis,,70,1,,Bureau à menzah 9b,À Louer,1000,1
Sousse,,88,1,,Appartement à vendre,À Vendre,285000,1
Ariana,,320,1,,Dépôt à soukra,À Louer,2000,1
Tunis,,150,3,,Appart S3 Jacinthe Meublé à Louer à Sidi Daoud,À Louer,1900,1
Tunis,,63,1,,Local commercial à Ain zaghouan Nord,À Louer,2000,1
Nabeul,S+2,97,2,,A Vendre : S+2 haut standing Vue piscine dans une résidence gardée avec ascenseur et double piscine à AFH2 Mrezga Nabeul.,À Vendre,400000,1
Ariana,,240,3,,A VENDRE VILLA – LA SOUKRA – TEL 56306032 – FB.6715,À Vendre,950000,1
Sousse,,58,1,,appartement s+1 à vendre à hergla sousse,À Vendre,170000,1
Tunis,,80,1,,Local commercial à Ain zaghouan Nord,À Louer,1800,1
Tunis,S+2,101,2,,A VENDRE S+2 – WAHAT – TEL 56306032 – FB.6946,À Vendre,270000,1
Bizerte,,120,3,,Appartement Haut Standing s+3 situé dans une résidence bien sécurisée a Bizerte,À Louer,1400,2
Tunis,,400,1,,A LOUER DEPOT – EL AOUINA – TEL 56306032– FB.7038,À Louer,2500,1
Ariana,S+1,55,1,,A VENDRE S+1 – LA SOUKRA – TEL 56306032 -FB.6968,À Vendre,180000,1
Sousse,S+4,138,4,,Duplex S+4 avec entrée indépendante,À Vendre,195000,1
Tunis,S+0,44,0,,A VENDRE S+0 – JARDIN DE CARTHAGE – TEL 56306032 – FB.7093,À Vendre,245000,1
Ben Arous,,False,False,,"Porte de garage coulissante en fer+porte d'entrée extérieure Neuf-Morneg)
باب مدخل خارجي منزلق",False,650,False
Mahdia,S+2,False,0,,"Appartement S+2 au 4e étage – Mahdia, Zone Touristique",À Louer,450,1
Tunis,S+1,60,1,,A vendre appartement S+1 à Cité el wahat,À Vendre,210000,1
Ariana,S+2,130,2,,✅RIADH EL ANDALOUS ; à louer joli appt S+2✅,À Louer,,1
Tunis,,100,3,,A vendre bureau en H+3 de 100m a Montplaisir,À Vendre,240000,1
Ariana,S+2,56,2,,A VENDRE S+2 – BOURJ LOUZIR – TEL 56306032– FB.5414,À Vendre,105000,1
Ariana,,70,1,,🏠 Cité Faouz ; à LOUER Coquet 𝐀𝗽𝗽𝘁 𝐒+1 Haut stg🏠,À Louer,,1
Tunis,S+1,80,1,,🌟 🌟JARDINS DE CARTHAGE ; à louer joli appt S+1🌟 🌟,À Louer,,1
Tunis,S+3,200,3,,🏠 MANAR 1. à louer  Agréable appt S+3 🏠,À Louer,,2
Tunis,S+3,98,3,,A VENDRE S+3 – CITE WAHAT – TEL 56306032 – FB.6807,À Louer,270000,1
Nabeul,,297,4,,À LOUER À YASMINE HAMMAMET!,À Vendre,3500,3
Ariana,S+3,130,3,,RIADH EL ANDALOUS ; à LOUER RDC VILLA S+3,À Louer,,1
Ariana,S+5,200,5,,🌟 🌟SOUKRA ; à louer ETAGE VILLA S+5 AVEC JARDIN,À Louer,1500,2
Tunis,,1,2,,Appartement s2 à ain zaghouan nord zal2956,À Louer,1300,1
Ariana,,280,3,,à LOUER Agréable VILLA à Cité FAOUZ,À Louer,2699,4
Tunis,S+3,180,3,,🌟 🌟MENZAH 9A ; à louer RDC VILLA S+3,À Louer,,2
Nabeul,S+3,155,3,,A Vendre : Un S+3 de Luxe à AFH2 Mrezga Nabeul,À Vendre,,3
