Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Nabeul,📍A vendre à Hammamet Nord villa très haut standing⭐⭐⭐,,À Vendre,3,347,1100000,4
,Tunis,A LOUER S+1 – JARDINS AOUINA – 58258423 – FB.7226,S+1,À Louer,1,70,1050,1
,Sousse,appartement,,À Vendre,1,78,168,2
,Sousse,Appartement S+2 Haut Standing direct promoteur,S+2,À Vendre,0,120,350000,2
,Ariana,terrain de 960m carre a borj touille,,False,False,False,336000,False
,Ariana,À louer un s+4 ennacer,,À Louer,02,190,1700,04
,Sousse,appartement,,À Louer,1,130,1200,2
,Ariana,A louer triplex S+4 HST à la soukra,S+4,À Louer,3,220,3998,4
,Ariana,a louer appartement s+1 haut standing a cité ennaser,,À Louer,1,60,1050,1
,Ben Arous,A louer appartement s1 à Boumhel,,À Louer,1,55,820,1
,Tunis,📍LES BERGES DU LAC 2 : UNE VILLA S+8 A  USAGE BUREAUTIQUE A LOUER,S+8,À Louer,5,500,12000,8
,Tunis,Villa jumlee à vendre à Menzah 9,,À Vendre,2,282,,4
,Ariana,À louer menzah 7 bis,,À Louer,01,85,1100,01
,Tunis,a louer s+2 a Menzah 9C,,À Louer,1,130,1450,2
,Ariana,📍 RIADH EL ANDALOUS: APPARTEMENT S+3 À LOUER,S+3,À Vendre,2,0,1300,3
,Tunis,📍MENZAH 9 C : APPARTEMENT S+2 À VENDRE,S+2,À Vendre,2,129,,2
,Tunis,studio meublé par nuitée a l'aouina,,À Louer,1,80,,1
,Ariana,📍   RIADH El ANDALOUS: APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,S+1,À Louer,1,0,780,1
,Tunis,À louer Villa indépendante de 14 pièces à Mutuelle ville,,À Louer,3,400,5000,14
,Tunis,appartement lac 2 a cote de tunsia mall,,À Louer,1,65,140,1
,Kairouan,terrain à Kairouan,,False,False,False,400,False
,Tunis,jolie appartement jardin de Carthage courte durée,,À Louer,1,65,130,1
,Tunis,📍 MENZAH 9C : APPARTEMENT S+1 À LOUER,S+1,À Louer,1,0,1000,1
,Tunis,"maison à louer à ksar said bardo, 98511188/ 28511188",,À Louer,1,0,,2
,Tunis,📍 MENZAH 9C : APPARTEMENT S+2 À VENDRE,S+2,À Vendre,2,114,380000,2
,Nabeul,A vendre un terrain  :  930m²,,False,False,False,1500,False
,Tunis,📍CENTRE URBAIN NORD : APPARTEMENT S+2 A LOUER,S+2,À Louer,2,0,1700,2
,Ariana,📍 BORJ LOUZIR   : LOCAL COMMERCIAL À LOUER,,À Louer,1,20,650,1
,Nabeul,Terrain d’habitation 200 m²  à jinen Mansourah Kelibia,,False,False,False,95000,False
,Sousse,terrain forsa a vendre,,False,False,False,28884738,False
,Tunis,À louer s+3 manar 1,,À Louer,01,100,1050,03
,Ariana,a vendre appartement s3 haut standing avec parking ss a cité ennaser,,À Vendre,2,175,,3
,Tunis,bureau a louer au centre urbain nord,,À Louer,1,1,700,1
,Ben Arous,A vendre appartement s1 à Boumhel,,À Vendre,1,50,,-1
,Ariana,📍 RIADH EL ANDALOUS : UNE MAISON S+1 À LOUER À USAGE HABITATION OU BUREAUTIQUE,S+1,À Louer,1,0,900,1
,Bizerte,"Terrain de 250m² avec vue sur mer, près de la plage de Ghar El Meleh",,False,False,False,,False
,Sousse,TRÈS CHIC BUREAU A+3 PRÈS D'HOPITAL FARHAT HACHED,,À Vendre,1,110,320000,3
,Ariana,📍 RIADH EL ANDALOUS: APPARTEMENT S+0 À LOUER,S+0,À Louer,1,0,750,1
,Ariana,Ennasr A Louer S+3 à coté de René Descartes,S+3,À Louer,3,176,1800,3
,Tunis,a vendre appartement s+2 au RDC a manar 1 près du monoprix,,À Vendre,1,100,240000,2
,Tunis,à louer des appartements meublé par nuitée ou par mois avec wifi résidence calme et sécurisée Jardin laawina 7ay el wa7et,,À Louer,1,60,100,2
,Tunis,🔥🔥 A louer un s+2 a gammath côté hôtel place résidence cap gammath,,À Louer,1,1,1500,1
,Ariana,Appartement S+3 1er étage HStanding,S+3,À Louer,2,130,998,3
,Tunis,a louer une charmante villa a mutuelleville a usage habitation ou professionnel,,À Louer,5,400,4500,6
,Tunis,à louer des appartement meublée par nuitée ou par mois dans une résidence calme est sécurisé cité wa7et jardin de lawina,,À Louer,1,55,100,2
,Ariana,📍   ENNASR 2: APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,S+1,À Louer,1,0,1000,1
,Ariana,📍 ENNASR 2 : APPARTEMENT S+3  À VENDRE,S+3,À Vendre,1,130,365000,3
,Sfax,Appartement meublé tout près de l' hôpital,,À Louer,1,125,,4
,Ariana,a vendre appartement s+1 au RDC avec terrasse et parking sous-sol a menzah 7bis,,À Vendre,1,71,,1
,Monastir,S+1 haut standing avec terrasse,S+1,À Louer,1,60,700,1
,Ariana,a vendre appartement s+3 avec parking sous-sol aux jardins d'el menzah 1,,À Vendre,2,140,,3
,Tunis,a louer un etage de villa a usage bureautique a Menzah 1,,À Louer,2,250,3500,4
,Sfax,Villa S+3 contemporaine à Lafrane km6.5,S+3,À Vendre,2,2300,1450000,3
,Ariana,📍RIADH EL ANDALOUS: APPARTEMENT S+2 A LOUER,S+2,À Louer,1,0,800,2
,Ben Arous,Terrain Villa Vamos à Vendre à Ezzahra,,False,False,False,100000,False
,Nabeul,maison en bonne état,,À Vendre,-1,1,190000,-3
,Tunis,Fond de commerce,,À Vendre,1,1111,111111111,1
,Ariana,APPARTEMENT s2 à Ennasr 1,,À Louer,2,120,900,2
,Tunis,duplex s3 avec jardin et piscine à La Marsa  ZDL0242,,À Louer,1,1,3300,3
,Tunis,app s+2,,À Louer,1,80,1300,2
,La Manouba,Imeuble,,False,False,False,,False
,Tunis,la marsa sur l'autoroute,,À Louer,2,150,2200,4
,Tunis,studio meuble aux Jardins de Carthage,,À Louer,1,50,850,1
,Ariana,APPARTEMENT s+3 à Ennasr 1 à vendre,,À Vendre,1,146,,3
,Nabeul,"Un Local commercial à Vendre sur la route principale Nabeul Mrezga, accessible, dans une zone résidentielle et bien animée.",,À Vendre,1,25,140000,1
,Ariana,📍 JARDINS D’EL MENZAH 1 : APPARTEMENT S+1 RICHEMENT MEUBLÉ À LOUER,S+1,À Louer,1,0,1000,1
,Ariana,Une Villa en cours de finition S+3 à louer à La Soukra,S+3,À Louer,3,356,2500,3
,La Manouba,deux locaux commerciale,,À Louer,2,35,,2
,Tunis,🔥🔥 A louer un s+1 aux jardins de Carthage,,À Louer,1,1,1300,1
,Sousse,Un appartement s+2 à vendre situé à hammam sousse,,À Vendre,1,85,145000,2
,Tunis,🏢 A louer un s+2 aux jardins de Carthage,,À Louer,1,1,1400,2
,Ben Arous,a louer un étage de villa meublée a la nouvelle medina 3,,À Louer,1,120,1300,0
,Tunis,🔥 A vendre un s+1 aux jardins de Carthage,,À Louer,1,71,,1
,La Manouba,A louer : S+2 à la manouba,S+2,À Louer,1,70,700,2
,Tunis,Terrain Chant des Étoiles à Vendre à Gammarth,,False,False,False,300000,False
,Ben Arous,A louer un local commercial d'une superficie 56m² à nouvelle médina 3,,À Louer,1,56,1200,1
,Nabeul,منزل للبيع,,À Vendre,1,150,130000,2
,Ariana,A VENDRE UNE MAISON S+5 A RAOUED,S+5,À Vendre,2,500,360000,5
,Sousse,Un appartement s+1 à vendre situé à corniche,,À Vendre,1,75,270000,1
,La Manouba,A louer : S+2 à la Manouba,S+2,À Louer,1,70,700,2
,Tunis,🔥🔥 A louer un s+1 meuble aux jardins de Carthage,,À Louer,1,1,1550,1
,Nabeul,Terrain constructible à Hammamet Sud,,False,False,False,170000,False
,Ariana,A  louer : Appartement S+2 à proximité d’ESPRIT,S+2,À Louer,1,75,470,2
,Nabeul,a vendre Villa de luxe avec piscine à Hammamet Nord côté plage,,À Vendre,3,660,1470000,3
,Tunis,A louer appartement S+1 à Ain Zaghouan Nord,S+1,À Louer,1,65,1400,1
,Ariana,A louer Appartement S+1 à la Soukra,S+1,À Louer,1,80,1300,1
,Ariana,A louer Etage de villa S+4 à Menzah 8,S+4,À Louer,2,181,1700,4
,Ariana,A louer appartement S+2 à la Soukra,S+2,À Louer,1,120,1400,2
,Ariana,🏠𝗕𝗢𝗥𝗝 𝐁𝐀𝐂𝐂𝐎𝐔𝐂𝐇𝐄 ; 𝙖̀ 𝙡𝙤𝙪𝙚𝙧 𝐄𝐭𝐚𝐠𝐞 𝐝𝐞 𝐯𝐢𝐥𝐥𝐚 𝙎+𝟒 Bien situé🏠,,À Louer,3,250,,4
,Sfax,حانوت للكراء,,À Louer,1,8,300,1
,Ariana,cite el bahi ladghem,,À Louer,1,65,550,2
,Tunis,A louer un appartement S+1 à Ain Zaghouan Nord,S+1,À Louer,1,False,1400,2
,Ariana,🏠𝐄𝐍𝐍𝐀𝐒𝐑 2 ; à LOUER   𝘼𝙥𝙥𝙩 𝐒+2 bien meublé🏠,,À Louer,1,130,,2
,Ariana,🏠 𝐄𝐍𝐍𝐀𝐒𝐑 ; 𝐚̀ 𝐋𝐎𝐔𝐄𝐑 𝐣𝐨𝐥𝐢 𝐀𝗽𝗽𝘁 𝐒+𝟐 𝐇𝐚𝐮𝐭 𝐬𝐭𝐚𝐧𝐝𝐢𝐧𝐠 🏠,,À Louer,2,130,,2
,Sousse,Un appartement s+2 à vendre situé à chatt mariem,,À Vendre,1,82,385000,2
,Ariana,🏠 𝐑𝐈𝐀𝐃𝐇 𝐄𝐋 𝐀𝐍𝐃𝐀𝐋𝐎𝐔𝐒 ; 𝐚̀ 𝐥𝐨𝐮𝐞𝐫 𝐬𝐩𝐚𝐜𝐢𝐞𝐮𝐱 𝐚𝐩𝐩𝐭 𝐒+𝟑 🏠,,À Louer,2,150,,3
,Sfax,حانوت للكراء,,À Louer,1,8,300,1
,Sousse,A vendre maison avec deux étages,,À Vendre,4,360,549999,7
,Ben Arous,villa à vendre à Ezzahra,,À Vendre,3,566,,3
,Tunis,Bureau en 4 espaces - 100m²- Tunis- IFCT6,,À Louer,2,100,1000,4
,Ariana,AR2030; À Vendre : Étage de Villa Haut Standing à Ariena !,,À Vendre,2,224,500,4
,Nabeul,Studio Jed,,À Louer,1,70,1600,1
,Ariana,Charmant appartement en vente à Menzah7,,À Vendre,2,115,290000,2
,Nabeul,Appartement Radisson,,À Louer,1,120,1500,2
,Ben Arous,Fond de commerce cafétéria 50m2 a Mourouj 1,,À Vendre,1,50,85000,1
,Ben Arous,Terrain de 1816 m² à Borj Cedria,,False,False,False,1450000,False
,Ben Arous,Terrain de 1993 m² à Borj Cedria,,False,False,False,990000,False
,Ben Arous,Terrain de 1011 m² à Borj Cedria,,False,False,False,850000,False
,Nabeul,Appartement 100 m²  à Hammam ghzeez,,À Vendre,1,100,170000,2
,Ben Arous,Terrain  de 258m² à borj cedria,,False,False,False,129000,False
,Sousse,À louer un bureau À+3 à sahloul 1,,À Louer,1,96,1400,3
,Ben Arous,Terrain de 2924 m² à Borj Cedria,,False,False,False,1460000,False
,Ben Arous,Terrain pour promotion immobilière de 2378 m²,,False,False,False,1190000,False
,Ben Arous,Terrain de 1855 m² à Borj Cedria,,False,False,False,925000,False
,Ben Arous,Terrain de 495 m² à Borj Cedria,,False,False,False,634000,False
,Ben Arous,Terrain de 622 m² à Borj Cedria,,False,False,False,249000,False
,Ben Arous,Maison de 240 m2 sur un terrain de 216 m² à Borj Cedria,,À Vendre,2,216,375000,3
,Ben Arous,Villa de 418 m² à  Borj Cedria,,À Vendre,4,418,790000,7
,Ben Arous,Maison à vendre de 420 m²  à cité AFH Borj Cedria,,À Vendre,3,420,590000,4
,Tunis,A vendre appartement S3 à Manar 1 à usage Bureautique ou habitation,,À Vendre,2,120,320000,3
,Ben Arous,Duplex de 180 m² à Borj Cedria,,À Vendre,3,180,319000,3
,Ben Arous,RDC de Villa Sérène à Vendre à Hammam Lif,,À Vendre,1,94,140000,False
,Ben Arous,Maison de 200 m² à  Borj Cedria,,À Vendre,1,200,325000,3
,Ben Arous,Maison neuve de 206 m² à Borj Cedria,,À Vendre,1,206,360000,3
,Ariana,A vendre joli appartement S1 à Ennasr 1,,À Vendre,1,50,180000,1
,Tunis,Bureau en 5 espaces-120m²- Lac 1 – IFCL1312,,À Louer,0,120,2900,5
,Sousse,Une luxueuse villa à vendre à Kantaoui,,À Vendre,1,792,1800000,3
,Ben Arous,Maison  de 622 m² à Borj Cedria,,À Vendre,1,622,430000,3
,Ben Arous,Villa de 395 m² à Borj Cedria,,À Vendre,3,395,495000,3
,Tunis,A louer local à manar 2,,À Louer,1,30,1200,1
,Ben Arous,Villa de 400 m² sur un terrain de 597 m²,,À Vendre,2,597,790000,3
,Ben Arous,Terrain de 326 m² à Borj Cedria,,False,False,False,196000,False
,Tunis,Appartement s3 à la Marsa MAL3102,,À Louer,1,1,2350,3
,Ben Arous,Terrain de 445 m² à Borj Cedria,,False,False,False,222500,False
,Sousse,Une villa inachevée à vendre situé à hammem sousse,,À Vendre,2,387,650000,5
,Nabeul,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",S+1,À Vendre,1,65,265000,1
,Ben Arous,Terrain de 392 m² à Borj Cedria,,False,False,False,216000,False
,Ben Arous,Terrain  de 331 m² à Borj Cedria,,False,False,False,150000,False
,Ben Arous,Terrain de 333 m² à Borj Cedria,,False,False,False,233000,False
,Ben Arous,Maison à la Cité AFH de Borj Cedria,,À Vendre,4,185,480000,4
,Ben Arous,Terrain de 323 m² à Borj Cedria,,False,False,False,169000,False
,Ben Arous,Terrain de 500 m² à Borj Cedria,,False,False,False,250000,False
,Nabeul,Maison Boughzela,,À Louer,1,80,950,2
,Ariana,À louer S+2 meublé à ennasr,S+2,À Louer,1,90,,2
,Tunis,A louer appartement S+1 meublé haut standing à cité Wahat,S+1,À Louer,1,60,950,1
,Zaghouan,Terrain Santal à Vendre à Zaghouan,,False,False,False,375000,False
,La Manouba,أرض صالحة للبناء للبيع,,False,False,False,132,False
,Ben Arous,Dépôt a mourouj 6,,À Louer,1,54,500,1
,Tunis,A Vendre Des Locaux Commerciaux avec maison au Cité Zouhour 1,,À Vendre,4,367,700000,4
,Tunis,location lac 2,,À Louer,1,100,150,2
,Nabeul,Av Immeuble de 4 étages pas loin de la mer 99958728,,À Vendre,2,99,250000,3
,Ben Arous,Immeuble Arum à Vendre à Borj Cedria,,À Vendre,1,622,800000,3
,Tunis,A vendre maison à El kram Est,,À Vendre,1,101,212000,2
,La Manouba,appartement s+1 meublé  par jour à Manouba,,À Louer,1,65,90,1
,Ben Arous,Bureau s+2 à Ezzahra,,À Louer,1,140,1400,0
,Sousse,"S0 , S1 et S+2",S+2,À Louer,1,128,60,2
,Sousse,للكراء بالشهر او باليوم و الأسبوع S+2,S+2,À Louer,1,96,,2
,Ben Arous,"À VENDRE : Terrain agricole à Sidi Fraj, Mhamdia (Gouvernorat de Ben Arous, Tunisie)",,False,False,False,158000,False
,Zaghouan,Immeuble Nocturne à Vendre à Zaghouan,,À Vendre,3,160,600000,7
,Sousse,Bureau A3 au centre ville,,À Vendre,1,116,280000,3
,Nabeul,villa pied dans l'eau,,À Vendre,04,335,1200000,08
,Sousse,Location vacances للكرا ء,,À Louer,1,123,80,2
,Sousse,(S+2) à Sousse avec Place de Parking,S+2,À Vendre,1,93,229000,2
,Sousse,"(S+1) kantaoui Zone Touristique Direct Promoteur, Prés de la Mer",S+1,À Vendre,1,61,255041,1
,Sousse,(S+3) à  Cité Riadh 5,S+3,À Vendre,2,85,89000,3
,Sousse,appartement  S3 vue de mer,,À Louer,2,1180,,3
,Sousse,"(S+2) à Bouhsina el Ghazali, Directe Promoteur",S+2,À Vendre,1,95,255000,2
,Sousse,S2 à louer par mois بالشهر,,À Louer,1,95,500,2
,Sousse,(S+2)  à Hergla avec  Place de  Parking,S+2,À Vendre,1,90,249000,2
,Sousse,(S+2) à Cité Riadh 1 Prés de Facultés,S+2,À Vendre,1,80,120000,2
,Sousse,Duplex Indépendant (S+4) à Bouhsina,S+4,À Vendre,2,100,270000,4
,Sfax,Terrain à vendre avec une villa inachevée de deux étages séparés,,False,False,False,580000,False
,Sousse,Vente  Bureau A3,,À Vendre,1,116,280000,3
,Sousse,S1 s2 à louer,,À Louer,1,91,70,1
,Nabeul,Grande villa pour la location annuelle,,À Louer,3,325,1900,4
,Tunis,Bureau 250m neuf open-space au Place Pasteur,,À Louer,3,250,4500,1
,Sousse,Villa style américain  bien situé à khezema,,À Vendre,3,760,,6
,Sousse,Maison avec deux étages à sidi abedlhamid,,À Vendre,4,365,,6
,Sousse,Appartement S2 directe promoteur,,À Vendre,2,100,280000,2
,Ariana,شقة أرضية مع حديقة للكراء باليوم أو الشهر في المنزه السابع مكرر,,À Louer,2,120,120,2
,Ariana,S+2 avec jardin par jours à manzah 7 bis,S+2,À Louer,2,120,120,2
,Siliana,ارض و شقة للبيع في سليانة حي الفردوس 2,,À Vendre,1,70,,2
,Sousse,Petit immeuble,,À Louer,8,900,,10
,Tunis,A LOUER – S+0 – CITE EL WAHAT – TEL 58713586 – FB.7175,S+0,À Louer,1,43,950,1
,Sousse,Dépôt de 600 m²,,False,False,False,600000,False
,Sousse,Villa à Akouda,,À Vendre,2,458,460000,4
,Bizerte,Terrain à Vendre à Sidi Salem Bizerte,,False,False,False,865800,False
,Sousse,bureau de type A2,,À Vendre,1,70,620,2
,Sousse,APPARTEMENT S3,,À Louer,1,160,999,3
,Sousse,bureau A3,,À Vendre,1,80,210000,3
,Sousse,Appartement meublé S2 avec vue mer,,À Louer,1,100,,2
,Tunis,Appart S+2 haut standing avec piscine et salle de sport à Menzah 9c,S+2,À Vendre,2,128,395000,2
,Sousse,USINE DE 1200 M² COUVERT,,À Louer,2,1200,6000,1
,Sousse,local commercial 95 m²,,À Louer,1,95,4,1
,Tunis,À LOUER UN APPARTEMENT S+2 À LA MARSA,S+2,À Louer,2,135,2000,2
,Tunis,À VENDRE UNE MAISON À MENZAH 1,,À Vendre,3,378,,3
,Tunis,À LOUER UN MAGNIFIQUE APPARTEMENT S+3 À LA MARSA,S+3,À Louer,3,145,2200,3
,Ariana,a louer s+1 à el ghazela  a 500m du  technopole,,À Louer,1,60,700,1
,Nabeul,Offre de fin d'année maison S+2 à Kélibia,S+2,À Vendre,1,229,330000,4
,Tunis,Appartement 4 pièces Les berges du Lac 1,,À Louer,2,150,1500,2
,Tunis,À VENDRE UN MAGNIFIQUE APPARTEMENT S+3 À LA MARSA,S+3,À Vendre,3,145,550000,3
,Ariana,À LOUER UN JOLI APPARTEMENT S+2  MEUBLÉ À CHOTRANA1,S+2,À Louer,2,136,1850,2
,Tunis,a louer appartement s1 meublé haut standing a menzah 9c,,À Louer,1,60,1350,1
,Ariana,À LOUER UN COQUET APPARTEMENT S+2 MEUBLÉ À LA SOUKRA,S+2,À Louer,2,95,2000,2
,Tunis,à vendre une villa inachevée à ain Zaghouan Nord,,À Vendre,3,410,1200000,4
,Tunis,À vendre un joli appartement  S+2 Meublé à Ain Zaghouan Nord,S+2,À Vendre,2,154,680000,2
,Tunis,A louer H+2 à Montplaisir,,À Louer,2,130,1700,2
,Ariana,A Vendre Terrain à La Soukra,,False,False,False,970,False
,Tunis,A Louer Immeuble à la Marsa,,À Louer,6,1350,30000,17
,Tunis,A Louer Villa avec piscine au Manar 2,,À Louer,4,400,5500,7
,Gafsa,فرصة العمر,,False,False,False,120000,False
,Tunis,A Louer Villa de Maitre aux Jardins de Carthage,,À Louer,5,700,8000,6
,Tunis,A Louer S+2 Neuf à Cité Du Stade La Marsa,S+2,À Louer,1,100,1500,2
,Béja,Vendre mon ferme : maison + élevage vache + terrain (2200m2),,False,False,False,,False
,Tunis,A Louer Triplex En S+5 au Lac 1,S+5,À Louer,3,360,3600,5
,Zaghouan,للبيع 5500م بها 50 عود زيتون بزغوان موقع ممتاز99958728,,False,False,False,90000,False
,Sfax,VILLA A LOUER,,À Louer,1,200,700,4
,Ariana,Appart S+2 meublé à La Soukra,S+2,À Louer,1,120,1150,2
,Tunis,A Vendre S+5 à La Marsa,S+5,À Vendre,3,288,980000,5
,Tunis,A Vendre S+1 avec Jardin aux JDC,S+1,À Vendre,1,70,410000,1
,Sousse,Un local commercial à louer situé à sahloul 2,,À Louer,1,120,2500,False
,Ben Arous,A vendre appartement,,À Vendre,1,160,360,3
,Ariana,"s+1 neuf de 60m², Chotrana 1",,À Louer,0,60,1100,1
,Ariana,🏠 Villa S+3 avec jardin et chambre de service à La Soukra,S+3,À Louer,4,200,2550,3
,Ariana,A Vendre S+3 à Jardins d'el Menzah,S+3,À Vendre,2,157,365000,3
,Tunis,Un Appartement S1 à louer au cité Wahat,,À Louer,1,60,850,1
,Tunis,à louer maison arabe à bab souika,,À Louer,1,120,578,3
,Tunis,"Appart S+2 avec jardin privé, piscine et salle de sport à Menzah 9c",S+2,À Vendre,2,184,460000,2
,Tunis,🔥🔥 A vendre un s+1 aux jardins de Carthage,,À Louer,1,72,320,1
,Nabeul,Maison inachevée 180 m²  à Kelibia,,À Vendre,1,180,140000,2
,Ariana,Charmant appartement S+2 en location à Borj Baccouche,S+2,À Louer,1,00,850,3
,Ben Arous,A vendre un appartement de type s+2 à rades foret,,À Vendre,1,110,180000,2
,Ariana,Bureau A+4 au coeur de menzah 6 centre jamil,,À Vendre,3,120,255000,5
,Ariana,apart nasr1 s+1,,À Louer,1,50,700,0
,Ben Arous,A vendre appartement s+2 à rades foret,,À Vendre,1,110,180000,2
,Nabeul,Av 3 garages sur la route à Hammamet sud 99958728,,À Vendre,2,290,210000,3
,Nabeul,vendre un terrain,,False,False,False,,False
,Ariana,Bureau A+4 au coeur de Menzah 6 Centre Jamil,,À Louer,3,120,1100,5
,Tunis,Un Appartement S2 a Ain Zaghouan,,À Louer,1,120,1200,3
,Tunis,Appart S+1 haut standing avec piscine et salle de sport à Menzah 9c,S+1,À Louer,1,70,950,1
,Tunis,Open space - 255m² - Montplaisir - IFCM173,,À Louer,0,255,5315,0
,Tunis,Bureau en 6 espaces - 120m²- Montplaisir- IFCM151,,À Louer,0,120,2500,6
,Tunis,Bureau en 4 espaces - 286m²- Montplaisir- IFCM155,,À Louer,0,286,4800,4
,Sousse,À louer par #jour S1 meublé + garage pour voiture à sousse ville près de gazarna sousse et clinique yosr et prés de tout commodité num : 58 770 620 للكراء باليوم استديو بسوسة بجانب مصحة اليسر و بجانب الاكاديمية العسكرية . الرقم: 58770620 whatapp; +21626996231,,À Louer,1,120,7,1
,Tunis,Bureau en 4 espaces -110m²-Montplaisir- IFCM117,,À Louer,0,110,1500,4
,Tunis,Immeuble en R+3 -800m²-Montplaisir - IFCM93,,À Louer,0,800,15000,10+
,Ariana,"À vendre s+2
Nouvelle soukra",,À Vendre,01,91,295,02
,Tunis,A vendre deux studios S+0 à Manar 1,S+0,À Vendre,1,31,100000,1
,Sousse,للبيع 2هك+2800م+375زيتونة بالنفيضة 99958728,,False,False,False,240000,False
,Ben Arous,a vendre Superbe duplex situé à Nouvelle Médina,,À Vendre,3,210,350000,4
,Tunis,Bureau en 3 espaces - 72m² - Lac 1- IFC 1088,,À Louer,0,72,1900,3
,Tunis,Bureau en 2 espaces- 170m²- Lac 1 -IFCL1269,,À Louer,0,170,3400,2
,Tunis,Bureau en 5 espaces-140m²- Lac 1 – IFCL1310,,À Louer,0,140,1700,5
,Tunis,Appartement S+3 aux berges du lac2,S+3,À Vendre,3,300,,4
,Ariana,Bureau 81 m² à La Soukra,,À Louer,1,81,1600,2
,Ben Arous,À vendre  villa S+5 très HST  / 98380449,S+5,À Vendre,3,250,6,5
,Tunis,villa bureautique a louer  au lac 2,,À Louer,6,400,12000,14
,Tunis,bureau s+2 a louer à Alain savary,,À Louer,2,100,2000,3
,Tunis,Location immeuble bureautique au Lac 1,,À Louer,6,1202,40000,2
,Tunis,open space a louer à Montplaisir,,À Louer,2,122,3000,1
,Tunis,local commercial a louer en gérance libre à Alain savary,,À Louer,1,40,1500,2
,Tunis,Bureau H+3 a louer au centre urbain nord,,À Vendre,1,100,2300,3
,Tunis,bureau s+3 a louer à Alain savary,,À Louer,2,90,2000,3
,Ben Arous,À vendre appartement s+3 cité olympique de rades,,À Vendre,1,100,,3
,Tunis,Appartement s+4 a louer  au cité jardins,,À Louer,2,120,2500,5
,Tunis,bureau en open space a louer à Alain savary,,À Louer,2,320,5500,3
,Nabeul,Av villa de 700m meublé avec piscine à Hammamet sud99958728,,À Vendre,2,700,590000,3
,Nabeul,terrain la plage de sud hamamet,,False,False,False,135,False
,Tunis,Villa plain-pied semi meublée avec un grand jardin à Mutuelleville,,À Louer,3,1000,4500,4
,Nabeul,Location annuelle: etage de villa S+3 vide dans un endroit calme à l'AFH Mrezga Nabeul,S+3,À Louer,2,120,,3
,Ariana,A VENDRE S+2 – BOURJ LOUZIR – TEL 56306032– FB.5414,S+2,À Vendre,1,56,105000,2
,Tunis,a louer s1 par nuitée,,À Louer,1,70,,1
,Ariana,A LOUER S+1 – LA SOUKRA – TEL 56306032- FB.6913,S+1,À Louer,1,80,1350,1
,Tunis,A VENDRE S+3 – CITE WAHAT – TEL  56306032 – FB.6807,S+3,À Vendre,1,98,270000,3
,Ariana,A VENDRE S+1 – LA SOUKRA – TEL 56306032 -FB.6968,S+1,À Vendre,1,55,180000,1
,Tunis,A LOUER DEPOT – EL AOUINA – TEL 56306032– FB.7038,,À Louer,1,400,2500,1
,Tunis,A VENDRE S+2 – WAHAT – TEL 56306032 – FB.6946,S+2,À Vendre,1,101,270000,2
,Tunis,A LOUER S+1 – BHAR LAZREK – TEL 56306032 - FB.7191,S+1,À Louer,1,50,850,1
,Tunis,A VENDRE - FOND DE COMMERCE - SALON DE THE -,,À Louer,2,180,,3
,Ariana,A VENDRE S+1 – ARIANA – TEL 56306032 – FB.7094,S+1,À Vendre,1,80,202000,1
,Tunis,Appart S+1 meublé haut standing à Menzah 9c,S+1,À Louer,1,70,1350,1
,Ariana,A LOUER – S+1- DAR FADHAL – TEL 56306032 – FB.7163,S+1,À Louer,1,55,750,2
,Tunis,A LOUER – S+0 – AIN ZAGHOUAN- TEL 56306032 – FB.7140,S+0,À Louer,1,60,800,1
,Ariana,A VENDRE VILLA – LA SOUKRA– TEL 56306032 – FB.6715,,À Vendre,2,240,950000,3
,Ariana,Bureau A+3 haut standing à Menzah 5,,À Louer,2,150,1550,4
,Sousse,A vendre un s+2 à hergla,,À Vendre,0,100,250000,2
,Tunis,Bureau en 3 espaces -100m² - LAC 2 -IFCL270,,À Louer,0,100,2000,3
,Ariana,Rez de chaussée d'une villa Menzeh 8,,À Louer,1,140,1200,3
,Nabeul,Av maison 1200m non fini à Hammamet sud ❌99958728❌,,À Vendre,2,1200,155000,3
,Tunis,Bureau en 4 espaces  -140 m²-Lac 2 - IFCL249,,À Louer,3,140,2500,4
,Tunis,Bureau en 4 espaces - 120m²- Lac 3– IFCL327,,À Louer,0,120,1800,4
,Nabeul,UNE VILLA LUXUEUSE A VENDRE A HAMMAMET,,À Vendre,4,550,870000,3
,Monastir,Terrain d'habitation 357 m²,,False,False,False,240000,False
,Sousse,A vendre un s+2 à hergla,,À Vendre,0,100,250000,2
,Nabeul,A vendre à Hammamet en face de l’hôtel RIBAT des lots de terrain de 400 ou 500 m²,,False,False,False,800,False
,Ariana,APPARTEMENT S+3 SPACIEUX À CHOTRANA 1,S+3,À Vendre,2,157,494997,3
,Tunis,Deux bureaux jumelés- 200m²-Tunis- IFCT274,,À Louer,0,200,1950,5
,Nabeul,A vendre à Hammamet Nord un S+3 à 200 m de la plage au rez-de-chaussée avec entrée indépendante,S+3,À Vendre,3,140,375000,3
,Sfax,Appartement au 1er,,À Louer,1,90,460,3
