Région,Localisation,Type de bien,Nature,Superficie,Salles de bains,Chambres,Prix
Ariana,Ariana,villa,À Vendre,320.0,3.0,5.0,530000.0
Nabeul,Nabeul,Maison,À Vendre,197.0,1.0,2.0,240000.0
La Manouba,La_Manouba,Maison,À Vendre,300.0,1.0,3.0,199521.1178567676
Ariana,Ariana,villa,À Vendre,517.0,3.0,5.0,1150000.0
Nabeul,Nabeul,villa,À Vendre,485.0,4.0,4.0,890000.0
Ben Arous,Ben_Arous,villa,À Vendre,350.0,2.0,4.0,680000.0
Bizerte,Bizerte,villa,À Vendre,200.0,3.0,3.0,526188.77449161
Bizerte,Bizerte,Maison,À Vendre,160.0,2.0,4.0,226689.6832766462
Bizerte,Bizerte,villa,À Vendre,180.0,2.0,3.0,526116.839095299
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,10.0,837238.2998315154
Nabeul,Nabeul,villa,À Vendre,265.0,2.0,3.0,480000.0
Nabeul,Nabeul,villa,À Vendre,470.0,4.0,4.0,950000.0
Nabeul,Nabeul,villa,À Vendre,700.0,2.0,3.0,696996.7526315197
Nabeul,Nabeul,Maison,À Vendre,200.0,1.0,2.0,322215.5236968505
Ariana,Ariana,villa,À Vendre,530.0,4.0,5.0,732556.0893391415
Nabeul,Nabeul,villa,À Vendre,460.0,3.0,4.0,920000.0
Nabeul,Nabeul,villa,À Vendre,700.0,5.0,7.0,847606.6761447696
Tunis,Tunis,Maison,À Vendre,384.0,1.0,4.0,700000.0
Ariana,Ariana,villa,À Vendre,300.0,3.0,3.0,960000.0
Ben Arous,Ben_Arous,Appartement,À Vendre,1279.0,1.0,4.0,370174.20497147343
Ben Arous,Ben_Arous,villa,À Vendre,580.0,2.0,7.0,724462.6793721919
Ben Arous,Ben_Arous,villa,À Vendre,1014.0,2.0,6.0,686936.9013168518
Ben Arous,Ben_Arous,villa,À Vendre,1053.0,2.0,5.0,649342.5391232851
Ben Arous,Ben_Arous,villa,À Vendre,445.0,2.0,5.0,1250000.0
Ben Arous,Ben_Arous,villa,À Vendre,735.0,4.0,7.0,1150000.0
Ben Arous,Ben_Arous,villa,À Vendre,444.0,1.0,3.0,550000.0
Tunis,Tunis,villa,À Vendre,459.0,2.0,4.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,148.0,2.0,4.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,170.0,1.0,3.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,450.0,3.0,3.0,580000.0
Ben Arous,Ben_Arous,Maison,À Vendre,302.0,2.0,3.0,370000.0
Ben Arous,Ben_Arous,Maison,À Vendre,309.0,2.0,3.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,174.0,3.0,7.0,400000.0
Ben Arous,Ben_Arous,Maison,À Vendre,183.0,2.0,5.0,680000.0
Ben Arous,Ben_Arous,Maison,À Vendre,285.0,1.0,4.0,550000.0
Ben Arous,Ben_Arous,Maison,À Vendre,289.0,2.0,5.0,620000.0
Ben Arous,Ben_Arous,Maison,À Vendre,208.0,3.0,7.0,450000.0
Ben Arous,Ben_Arous,Maison,À Vendre,341.0,3.0,6.0,650000.0
Ben Arous,Ben_Arous,Maison,À Vendre,650.0,5.0,8.0,1000000.0
Ben Arous,Ben_Arous,Maison,À Vendre,201.0,2.0,3.0,540000.0
Ben Arous,Ben_Arous,Villa,À Vendre,206.0,4.0,8.0,650000.0
Ben Arous,Ben_Arous,Villa,À Vendre,383.0,3.0,6.0,550000.0
Nabeul,Nabeul,villa,À Vendre,500.0,3.0,3.0,790000.0
Nabeul,Nabeul,villa,À Vendre,400.0,4.0,4.0,1030000.0
Ben Arous,Ben_Arous,villa,À Vendre,417.0,1.0,4.0,480000.0
Nabeul,Nabeul,Maison,À Vendre,90.0,1.0,2.0,322196.4243165849
Ariana,Ariana,Villa,À Vendre,300.0,3.0,5.0,1000000.0
Tunis,Tunis,Villa,À Vendre,657.0,3.0,8.0,713847.2715743708
Sfax,Sfax,Maison,À Vendre,303.0,2.0,5.0,350000.0
Tunis,Tunis,villa,À Vendre,587.0,3.0,5.0,721735.6920132837
Ariana,Ariana,villa,À Vendre,500.0,2.0,7.0,807616.2224378653
Tunis,Tunis,villa,À Vendre,800.0,1.0,10.0,909641.4187553953
Ariana,Ariana,villa,À Vendre,402.0,6.0,7.0,950000.0
Tunis,Tunis,villa,À Vendre,662.0,4.0,8.0,834620.5784758013
Ariana,Ariana,villa,À Vendre,420.0,3.0,4.0,1200000.0
Monastir,Monastir,villa,À Vendre,208.0,3.0,5.0,315000.0
Nabeul,Nabeul,villa,À Vendre,320.0,4.0,3.0,697067.698517673
Nabeul,Nabeul,villa,À Vendre,500.0,4.0,2.0,830000.0
Nabeul,Nabeul,villa,À Vendre,490.0,4.0,4.0,1250000.0
Sousse,Sousse,villa,À Vendre,180.0,1.0,4.0,721034.2427083496
Bizerte,Bizerte,Villa,À Vendre,154.0,2.0,5.0,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,1.0,3.0,350000.0
Tunis,Tunis,villa,À Vendre,185.0,1.0,4.0,683927.8331044902
Ariana,Ariana,villa,À Vendre,850.0,6.0,8.0,845551.9781121498
Bizerte,Bizerte,villa,À Vendre,600.0,2.0,4.0,563790.8977937924
Nabeul,Nabeul,villa,À Vendre,402.0,3.0,5.0,1250000.0
Nabeul,Nabeul,villa,À Vendre,800.0,4.0,4.0,1050000.0
Nabeul,Nabeul,villa,À Vendre,397.0,4.0,4.0,1050000.0
Bizerte,Bizerte,villa,À Vendre,300.0,2.0,3.0,349999.0
Ariana,Ariana,villa,À Vendre,400.0,2.0,4.0,900000.0
Nabeul,Nabeul,villa,À Vendre,600.0,4.0,4.0,830000.0
Nabeul,Nabeul,villa,À Vendre,420.0,3.0,4.0,760000.0
Nabeul,Nabeul,villa,À Vendre,347.0,4.0,4.0,1100000.0
Tunis,Tunis,Maison,À Vendre,572.0,1.0,3.0,580000.0
Monastir,Monastir,villa,À Vendre,916.0,2.0,3.0,680000.0
Nabeul,Nabeul,villa,À Vendre,234.0,3.0,4.0,575000.0
Nabeul,Nabeul,Maison,À Vendre,269.0,1.0,3.0,400000.0
Nabeul,Nabeul,villa,À Vendre,426.0,3.0,3.0,1000000.0
Nabeul,Nabeul,villa,À Vendre,347.0,3.0,4.0,1100000.0
Tunis,Tunis,villa,À Vendre,282.0,2.0,4.0,684013.1380669872
Ariana,Ariana,Maison,À Vendre,500.0,2.0,5.0,360000.0
Nabeul,Nabeul,villa,À Vendre,660.0,3.0,3.0,697058.2701840496
