Region,Localisation,Type,Nature,Area,#Bathrooms,#Bedrooms,Price
Ben Arous,Ben_Arous,villa,À Vendre,447.0,2.0,3,650000.0
Sousse,Sousse,villa,À Vendre,200.0,2.0,4,198.0
Nabeul,Nabeul,villa,À Vendre,240.0,3.0,7.0,800.0
Sfax,Sfax,villa,À Vendre,1000.0,1.0,4,1.0
Ben Arous,Ben_Arous,villa,À Vendre,233.0,1.0,3,0.0
Tunis,Tunis,,À Vendre,450.0,2.0,4,650000.0
Sousse,Sousse,Maison,À Vendre,460.0,1.0,4,0.0
La Manouba,La_Manouba,Maison,À Vendre,65.0,1.0,2,75000.0
Zaghouan,Zaghouan,Maison,À Vendre,212.0,1.0,4,90.0
Tunis,Tunis,villa,À Vendre,600.0,3.0,6,2648998.0
Sousse,Sousse,villa,À Vendre,1111.0,4.0,4,2800000.0
Nabeul,Nabeul,,À Vendre,42.0,1.0,1,38.0
Nabeul,Nabeul,villa,À Vendre,800.0,2.0,4,0.0
Ben Arous,Ben_Arous,villa,À Vendre,485.0,3.0,6,650000.0
Kasserine,Kasserine,Maison,À Vendre,530.0,,5,350.0
Sousse,Sousse,villa,À Vendre,402.0,3.0,5,450000.0
Tunis,Tunis,,À Vendre,98.0,2.0,4,300000.0
Sousse,Sousse,villa,À Vendre,418.0,2.0,06,0.0
Sfax,Sfax,Maison,À Vendre,147.0,1.0,3,1.0
Ariana,Ariana,Maison,À Vendre,115.0,1.0,2,130000.0
Ariana,Ariana,villa,À Vendre,150.0,1.0,5,0.0
Tunis,Tunis,Maison,À Vendre,300.0,1.0,3,0.0
Ariana,Ariana,Maison,À Vendre,250027.0,2.0,7,450000.0
Nabeul,Nabeul,villa,À Vendre,1500.0,2.0,2,690000.0
Ben Arous,Ben_Arous,Maison,À Vendre,180.0,2.0,3,200000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,2.0,4,470000.0
Sfax,Sfax,Maison,À Vendre,259.0,2.0,3,70.0
Sfax,Sfax,Maison,À Vendre,288.0,1.0,6,150000.0
Ben Arous,Ben_Arous,,À Vendre,400.0,1.0,0,500000.0
Sousse,Sousse,villa,À Vendre,218.0,2.0,4,950000.0
Nabeul,Nabeul,,À Vendre,,,3,300000.0
Nabeul,Nabeul,villa,À Vendre,800.0,3.0,6,1300000.0
Ben Arous,Ben_Arous,Maison,À Vendre,156.0,2.0,3,260000.0
Bizerte,Bizerte,villa,À Vendre,249.0,2.0,4,1.0
Sousse,Sousse,Maison,À Vendre,200.0,2.0,3,680000.0
Le Kef,Le_Kef,Maison,À Vendre,120.0,2.0,4,110.0
Ariana,Ariana,Maison,À Vendre,218.0,1.0,3,250000.0
Gabès,Gabs,Maison,À Vendre,,,,200.0
Monastir,Monastir,,À Vendre,,,4,380.0
Ben Arous,Ben_Arous,,À Vendre,250.0,2.0,3,570000.0
Tunis,Tunis,villa,À Vendre,530.0,5.0,6,980000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,2.0,3,0.0
La Manouba,La_Manouba,,À Vendre,120.0,1.0,2,200003.0
Ariana,Ariana,villa,À Vendre,280.0,3.0,5,850000.0
Ben Arous,Ben_Arous,,À Vendre,390.0,2.0,5,700000.0
Ben Arous,Ben_Arous,,À Vendre,,,3,420000.0
Ben Arous,Ben_Arous,,À Vendre,290.0,1.0,5,650000.0
Ben Arous,Ben_Arous,villa,À Vendre,,,,305000.0
Tunis,Tunis,Maison,À Vendre,200.0,2.0,4,160000.0
Ariana,Ariana,,À Vendre,220.0,2.0,6,340000.0
Kairouan,Kairouan,villa,À Vendre,360.0,2.0,3,450000.0
Ariana,Ariana,villa,À Vendre,150.0,2.0,8,178000.0
Le Kef,Le_Kef,Maison,À Vendre,200.0,1.0,5,275000.0
Bizerte,Bizerte,villa,À Vendre,600.0,0.0,6,577000.0
Bizerte,Bizerte,villa,À Vendre,1105.0,0.0,5,1250000.0
Ariana,Ariana,Maison,À Vendre,150.0,3.0,3,400000.0
Tunis,Tunis,villa,À Vendre,1300.0,0.0,0,1.0
Sfax,Sfax,villa,À Vendre,350.0,2.0,4,420.0
Tunis,Tunis,,À Vendre,,,,0.0
Ariana,Ariana,,À Vendre,200.0,3.0,3,980000.0
Ben Arous,Ben_Arous,villa,À Vendre,440.0,220.0,220,650.0
Tunis,Tunis,villa,À Vendre,600.0,1.0,5,1490000.0
Tunis,Tunis,villa,À Vendre,368.0,2.0,3,1500000.0
Ariana,Ariana,,À Vendre,190.0,3.0,3,750000.0
Nabeul,Nabeul,villa,À Vendre,953.0,4.0,6,0.0
Ben Arous,Ben_Arous,Maison,À Vendre,110.0,2.0,4,1.0
Tunis,Tunis,,À Vendre,326.0,2.0,3,680000.0
Gabès,Gabs,Maison,À Vendre,,,,105.0
Ben Arous,Ben_Arous,Maison,À Vendre,191.0,1.0,4,150000.0
Nabeul,Nabeul,villa,À Vendre,1000.0,0.0,5,1500000.0
Tunis,Tunis,,À Vendre,500.0,5.0,8,590000.0
Nabeul,Nabeul,Maison,À Vendre,170.0,2.0,4,230000.0
Nabeul,Nabeul,villa,À Vendre,430.0,6.0,6,1300000.0
Tunis,Tunis,villa,À Vendre,280.0,3.0,1,240000.0
Le Kef,Le_Kef,villa,À Vendre,1420.0,2.0,3,240000.0
Tunis,Tunis,villa,À Vendre,463.0,4.0,5,2300000.0
Tunis,Tunis,,À Louer,866.0,5.0,8,1700000.0
Nabeul,Nabeul,villa,À Vendre,2.0,4.0,7,1100000.0
Bizerte,Bizerte,,À Vendre,49.0,1.0,2,156999.0
Tunis,Tunis,,À Vendre,125.0,1.0,3,250000.0
Ariana,Ariana,villa,À Vendre,217.0,2.0,3,270000.0
Médenine,Mdenine,villa,À Vendre,295.0,2.0,5,1450000.0
Médenine,Mdenine,villa,À Vendre,,,3,900000.0
Ariana,Ariana,,À Vendre,170.0,2.0,4,360.0
Ariana,Ariana,villa,À Vendre,634.0,3.0,3,800000.0
Bizerte,Bizerte,villa,,,,4,
Ariana,Ariana,Maison,À Vendre,108.0,1.0,2,110.0
Mahdia,Mahdia,Maison,À Vendre,528.0,1.0,1,480000.0
Tunis,Tunis,Maison,À Vendre,80.0,,,150.0
Ariana,Ariana,villa,À Vendre,437.0,2.0,6,1234.0
Ben Arous,Ben_Arous,,À Vendre,270.0,2.0,4,320000.0
Sousse,Sousse,villa,À Vendre,900.0,3.0,10,950000.0
Tunis,Tunis,villa,À Vendre,285.0,1.0,4,440000.0
Tunis,Tunis,Maison,sale,,1.0,,0.0
Ariana,Ariana,villa,À Vendre,200.0,1.0,2,330000.0
Ben Arous,Ben_Arous,villa,À Vendre,460.0,2.0,4,0.0
Tunis,Tunis,villa,À Vendre,268.0,1.0,4,350000.0
Nabeul,Nabeul,villa,À Vendre,229.0,2.0,4,330000.0
Ben Arous,Ben_Arous,villa,À Vendre,61.0,2.0,3,165000.0
Tunis,Tunis,,À Vendre,190.0,2.0,3,320000.0
Tunis,Tunis,Maison,À Vendre,,1.0,,130000.0
Tunis,Tunis,Appartement,À Vendre,90.0,1.0,2,120000.0
Ariana,Ariana,villa,À Vendre,1.0,2.0,5,220000.0
Bizerte,Bizerte,villa,À Vendre,150.0,2.0,2,340000.0
Médenine,Mdenine,villa,À Vendre,360.0,2.0,2,430000.0
Tunis,Tunis,villa,À Vendre,316.0,2.0,10,1700000.0
Ariana,Ariana,villa,À Louer,400.0,3.0,4,970000.0
Tunis,Tunis,,À Vendre,355.0,3.0,7,680000.0
Ben Arous,Ben_Arous,,À Vendre,435.0,3.0,10,550000.0
Tunis,Tunis,,À Vendre,124.0,3.0,5,780000.0
Tunis,Tunis,,À Vendre,153.0,1.0,3,90000.0
Tunis,Tunis,Maison,À Vendre,,,3,180.0
Ariana,Ariana,,À Vendre,373.0,1.0,2,280000.0
Mahdia,Mahdia,Maison,À Vendre,,,6,1000.0
Sfax,Sfax,Maison,À Vendre,120.0,1.0,3,80000.0
Ben Arous,Ben_Arous,villa,À Vendre,186.0,2.0,3,0.0
Nabeul,Nabeul,villa,À Vendre,129.0,2.0,7,280.0
Sousse,Sousse,Maison,À Vendre,110.0,1.0,2,130000.0
Nabeul,Nabeul,Maison,À Vendre,300.0,1.0,,120.0
Tunis,Tunis,Maison,À Vendre,260.0,1.0,04,0.0
Tunis,Tunis,villa,À Vendre,350.0,4.0,5,2100000.0
Nabeul,Nabeul,Maison,À Vendre,100.0,1.0,2,150000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,3.0,9,650000.0
Ben Arous,Ben_Arous,,À Vendre,516.0,2.0,6,580000.0
Ariana,Ariana,villa,À Vendre,200.0,1.0,4,280000.0
Nabeul,Nabeul,villa,À Vendre,537.0,0.1,0.1,0.0
Ben Arous,Ben_Arous,villa,À Vendre,260.0,2.0,3,450000.0
Sousse,Sousse,villa,À Vendre,1000.0,3.0,6,1500000.0
Ben Arous,Ben_Arous,,À Vendre,130.0,1.0,3,850000.0
Sfax,Sfax,Maison,À Vendre,209.0,2.0,3,180000.0
Sousse,Sousse,,À Vendre,500.0,2.0,3,0.0
Tunis,Tunis,,À Vendre,150.0,3.0,5,290.0
Sousse,Sousse,villa,À Vendre,3600.0,2.0,4,3500000.0
Sousse,Sousse,villa,À Vendre,400.0,2.0,3,900000.0
Bizerte,Bizerte,villa,À Vendre,225.0,1.0,2,0.0
Ben Arous,Ben_Arous,Maison,À Vendre,,,,0.0
Ben Arous,Ben_Arous,,À Vendre,510.0,2.0,8,1500000.0
Ben Arous,Ben_Arous,,À Vendre,,2.0,,230000.0
Ben Arous,Ben_Arous,,À Vendre,187.0,3.0,,1290000.0
Ariana,Ariana,villa,À Vendre,380.0,1.0,3,410000.0
Nabeul,Nabeul,villa,À Vendre,370.0,2.0,4,900000.0
Ariana,Ariana,Maison,À Vendre,256.0,0.0,0,0.0
Ariana,Ariana,villa,À Vendre,475.0,2.0,4,0.0
Tunis,Tunis,,À Vendre,117.0,3.0,7,460000.0
Ben Arous,Ben_Arous,villa,À Vendre,315.0,2.0,6,700000.0
Ben Arous,Ben_Arous,,À Vendre,250.0,1.0,4,350000.0
Ben Arous,Ben_Arous,villa,À Vendre,407.0,2.0,4,650000.0
Tunis,Tunis,,À Vendre,336.0,1.0,3,450000.0
Ariana,Ariana,,À Vendre,450.0,2.0,4,750000.0
Tunis,Tunis,,À Vendre,600.0,4.0,4,1500000.0
Ariana,Ariana,,À Vendre,300.0,3.0,4,850000.0
Nabeul,Nabeul,Appartement,À Vendre,1300.0,3.0,7,780000.0
Ben Arous,Ben_Arous,,À Vendre,220.0,2.0,5,370000.0
Tunis,Tunis,Maison,À Vendre,112.0,2.0,6,96287632.0
Ariana,Ariana,villa,À Vendre,300.0,0.0,4,850000.0
Ariana,Ariana,villa,À Vendre,300.0,0.0,4,850000.0
Sousse,Sousse,villa,À Vendre,218.0,2.0,4,1100000000.0
Bizerte,Bizerte,villa,À Vendre,270.0,2.0,4,340000.0
Bizerte,Bizerte,villa,À Vendre,313.0,3.0,5,360000.0
Ben Arous,Ben_Arous,villa,À Vendre,566.0,2.0,03,890000.0
Ariana,Ariana,,À Vendre,230.0,3.0,4,700000.0
Ben Arous,Ben_Arous,villa,À Vendre,260.0,2.0,3,485000.0
Sfax,Sfax,villa,À Vendre,1680.0,3.0,4,800000.0
La Manouba,La_Manouba,Maison,À Vendre,319.0,2.0,3,319.0
Nabeul,Nabeul,,À Vendre,130.0,2.0,2,0.0
Ariana,Ariana,Maison,À Vendre,100.0,1.0,3,50000000.0
Sfax,Sfax,villa,À Vendre,650.0,2.0,5,470000.0
Ariana,Ariana,villa,À Vendre,430.0,1.0,4,300000.0
Ariana,Ariana,Maison,À Vendre,257.0,1.0,3,290000.0
Ariana,Ariana,villa,À Vendre,120.0,3.0,6,123.0
Tunis,Tunis,Maison,À Vendre,120.0,1.0,3,85000.0
Ben Arous,Ben_Arous,villa,À Vendre,245.0,2.0,8,400000.0
Nabeul,Nabeul,villa,À Vendre,500.0,9.0,21,3000000000.0
Tunis,Tunis,villa,À Vendre,162.0,2.0,5,0.0
Ariana,Ariana,villa,À Vendre,756.0,1.0,3,155000.0
Ben Arous,Ben_Arous,Maison,À Vendre,206.0,1.0,3,0.0
Nabeul,Nabeul,villa,À Vendre,200.0,2.0,3,280000.0
Tunis,Tunis,Maison,À Vendre,100.0,0.0,0,169.0
Tunis,Tunis,villa,À Vendre,260.0,1.0,4,420000.0
Tunis,Tunis,villa,À Vendre,470.0,3.0,4,0.0
Tunis,Tunis,villa,À Vendre,232.0,2.0,4,400000.0
Ben Arous,Ben_Arous,,À Vendre,900.0,5.0,13,900000.0
Ariana,Ariana,villa,À Vendre,300.0,3.0,5,1000000.0
Ben Arous,Ben_Arous,,À Vendre,100.0,1.0,2,115000.0
Ben Arous,Ben_Arous,,À Vendre,240.0,1.0,5,600000.0
Ben Arous,Ben_Arous,,À Vendre,508.0,4.0,7,1200000.0
Sfax,Sfax,villa,À Vendre,468.0,1.0,4,155.0
Ben Arous,Ben_Arous,villa,À Vendre,546.0,1.0,1,399997.0
Sousse,Sousse,villa,À Vendre,218.0,,,750000.0
Nabeul,Nabeul,villa,À Vendre,300.0,4.0,7,990000.0
Ben Arous,Ben_Arous,villa,À Vendre,720.0,4.0,8,750000.0
Gabès,Gabs,Maison,À Vendre,360.0,3.0,5,459999.0
Ben Arous,Ben_Arous,,À Vendre,105.0,3.0,6,350000.0
Bizerte,Bizerte,,À Vendre,270.0,3.0,7,490000.0
La Manouba,La_Manouba,,À Louer,153.0,1.0,3,1150.0
Sfax,Sfax,villa,À Vendre,816.0,2.0,6,1250000.0
Ariana,Ariana,villa,À Vendre,370.0,2.0,8,999999.0
Gafsa,Gafsa,villa,À Vendre,0.0,,,0.0
Nabeul,Nabeul,villa,À Vendre,1050.0,5.0,7,1550000.0
Ben Arous,Ben_Arous,villa,À Vendre,400.0,1.0,3,280000.0
Tunis,Tunis,villa,À Vendre,300.0,2.0,5,750000.0
Ben Arous,Ben_Arous,villa,À Vendre,270.0,4.0,6,550000.0
Tunis,Tunis,villa,À Vendre,520.0,4.0,7,0.0
Monastir,Monastir,villa,À Vendre,589.0,1.0,2,299000.0
Tunis,Tunis,Maison,À Vendre,,2.0,,750100.0
Nabeul,Nabeul,villa,À Vendre,300.0,2.0,4,5500000.0
Tunis,Tunis,villa,À Vendre,876.0,4.0,7,2.8
Ben Arous,Ben_Arous,villa,À Vendre,480.0,2.0,5,750000.0
Ben Arous,Ben_Arous,Maison,À Vendre,119.0,1.0,4,270000.0
Bizerte,Bizerte,Maison,À Vendre,300.0,2.0,4,1.0
Ariana,Ariana,Maison,À Vendre,140.0,1.0,4,1.0
Tunis,Tunis,villa,À Vendre,,,8,1600000.0
Ben Arous,Ben_Arous,,À Vendre,237.0,2.0,4,325000.0
Tunis,Tunis,villa,À Vendre,74.0,1.0,3,150000.0
Ben Arous,Ben_Arous,Maison,À Vendre,450.0,1.0,3,290000.0
Tunis,Tunis,,À Vendre,115.0,2.0,6,270000.0
Nabeul,Nabeul,villa,À Vendre,1000.0,6.0,5,1200000.0
Tunis,Tunis,,À Vendre,300.0,3.0,4,1700000.0
Nabeul,Nabeul,villa,À Vendre,,,5,1100000.0
Ben Arous,Ben_Arous,Maison,À Vendre,120000.0,2.0,7,340000.0
Ben Arous,Ben_Arous,,À Vendre,630.0,2.0,6,800000.0
Le Kef,Le_Kef,Maison,À Vendre,100.0,1.0,4,93000.0
La Manouba,La_Manouba,Maison,À Vendre,450.0,2.0,4,250000.0
Sousse,Sousse,villa,À Vendre,307.0,1.0,3,600000.0
Sousse,Sousse,villa,À Vendre,400.0,3.0,7,1200000000.0
Tunis,Tunis,Maison,À Vendre,205.0,0.0,9,1350000.0
Tunis,Tunis,Maison,À Vendre,440.0,3.0,6,1350000.0
Ben Arous,Ben_Arous,,À Vendre,198.0,2.0,3,520000.0
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,3,650000.0
Tunis,Tunis,villa,À Vendre,300.0,2.0,3,0.0
Sfax,Sfax,Maison,À Vendre,132.0,1.0,3,100.0
Tunis,Tunis,Maison,À Vendre,80.0,1.0,6,90000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,2.0,2,1.0
Nabeul,Nabeul,,À Vendre,,,,0.0
Sousse,Sousse,,À Vendre,83.0,1.0,1,0.0
Sousse,Sousse,villa,À Vendre,390.0,3.0,5,540000.0
Sousse,Sousse,villa,À Vendre,140.0,2.0,4,390000.0
Ariana,Ariana,villa,À Vendre,,,6,0.0
Ariana,Ariana,villa,À Vendre,375.0,2.0,3,800.0
Sousse,Sousse,villa,À Vendre,180.0,0.0,4,450000.0
Sousse,Sousse,villa,À Vendre,400.0,2.0,3,0.0
Bizerte,Bizerte,Maison,À Vendre,556.0,0.0,7,580000.0
Ben Arous,Ben_Arous,,À Vendre,175.0,2.0,6,550000.0
Tunis,Tunis,villa,À Vendre,1033.0,3.0,5,3300000.0
Bizerte,Bizerte,Maison,À Vendre,381.0,3.0,4,830000.0
Ariana,Ariana,villa,À Vendre,400.0,0.0,4,850000.0
Tunis,Tunis,,À Vendre,301.0,6.0,15,1300000.0
Nabeul,Nabeul,Maison,À Vendre,154.0,2.0,3,290.0
Monastir,Monastir,,À Vendre,120.0,1.0,0,0.0
Ariana,Ariana,villa,À Vendre,300.0,3.0,5,450.0
Tunis,Tunis,Maison,À Vendre,204.0,2.0,5,0.0
Ben Arous,Ben_Arous,villa,À Vendre,450.0,2.0,5,320000.0
Ariana,Ariana,villa,À Vendre,450.0,2.0,4,8900000.0
Sfax,Sfax,,À Vendre,130.0,1.0,2,150000.0
Nabeul,Nabeul,villa,À Vendre,,,3,790000.0
Nabeul,Nabeul,Appartement,À Vendre,100.0,1.0,2,165000.0
Ben Arous,Ben_Arous,villa,À Louer,511.0,2.0,4,
Nabeul,Nabeul,villa,À Vendre,560.0,3.0,5,0.0
Nabeul,Nabeul,villa,À Vendre,300.0,3.0,3,620000.0
Tunis,Tunis,,À Vendre,120.0,1.0,2,220000.0
Ben Arous,Ben_Arous,villa,À Vendre,530.0,2.0,5,750.0
La Manouba,La_Manouba,,À Vendre,210.0,0.0,3,670000.0
Ben Arous,Ben_Arous,villa,À Vendre,396.0,2.0,5,640.0
Ariana,Ariana,,À Vendre,370.0,1.0,6,950000.0
Ariana,Ariana,,À Vendre,277.0,2.0,5,800000.0
Tunis,Tunis,villa,À Vendre,101.0,2.0,7,470000.0
Médenine,Mdenine,villa,À Vendre,610.0,3.0,4,0.0
Bizerte,Bizerte,villa,À Vendre,350.0,4.0,4,920000.0
Tunis,Tunis,villa,À Vendre,225.0,1.0,3,430000.0
Ariana,Ariana,villa,À Vendre,550.0,2.0,6,2600000.0
Nabeul,Nabeul,villa,À Vendre,1020.0,6.0,5,1.0
Tunis,Tunis,,À Vendre,226.0,2.0,5,450000.0
Nabeul,Nabeul,villa,À Vendre,300.0,0.0,4,1180000.0
Nabeul,Nabeul,villa,À Vendre,289.0,0.0,2,415000.0
Sousse,Sousse,Maison,À Vendre,165.0,1.0,0,165000.0
Tunis,Tunis,villa,À Vendre,452.0,2.0,4,540000.0
Tunis,Tunis,Appartement,À Vendre,772.0,6.0,2,1.0
Ben Arous,Ben_Arous,,À Vendre,624.0,2.0,4,550000.0
Ben Arous,Ben_Arous,,À Vendre,,,4,0.0
Nabeul,Nabeul,,À Vendre,130.0,1.0,3,385000.0
Ariana,Ariana,villa,À Vendre,3000.0,6.0,7,0.0
Ben Arous,Ben_Arous,villa,À Vendre,140.0,1.0,03,1.0
Ben Arous,Ben_Arous,villa,À Vendre,420.0,2.0,3,700000.0
Ariana,Ariana,Maison,À Vendre,150.0,1.0,1,90000.0
Tunis,Tunis,Maison,À Vendre,100.0,1.0,2,110000.0
Ben Arous,Ben_Arous,Maison,À Vendre,100.0,1.0,03,349.0
Sousse,Sousse,villa,À Vendre,1000.0,0.0,0,1100000.0
Sousse,Sousse,Maison,À Vendre,267.0,1.0,2,400000.0
Sousse,Sousse,villa,À Vendre,,3.0,4,1000000.0
Sousse,Sousse,villa,À Vendre,615.0,2.0,,900000.0
Sousse,Sousse,villa,À Vendre,1000.0,2.0,5,3200000.0
Sousse,Sousse,villa,À Vendre,,5.0,,2800000.0
Sousse,Sousse,villa,À Vendre,307.0,1.0,3,600000.0
Sousse,Sousse,villa,À Vendre,600.0,1.0,3,600000.0
Sousse,Sousse,villa,À Vendre,207.0,1.0,3,360000.0
Sousse,Sousse,villa,À Vendre,831.0,7.0,7,0.0
Sfax,Sfax,villa,,,,,0.0
Ariana,Ariana,,À Vendre,101.0,1.0,3,100.0
Ben Arous,Ben_Arous,,À Vendre,350.0,2.0,6,600000.0
Nabeul,Nabeul,villa,À Vendre,600.0,1.0,3,0.0
Tunis,Tunis,villa,À Vendre,443.0,4.0,8,930000.0
Nabeul,Nabeul,villa,À Vendre,968.0,3.0,4,1500000.0
Sousse,Sousse,Maison,À Vendre,320.0,1.0,5,300.0
Ariana,Ariana,,À Vendre,270.0,3.0,7,510000.0
Ariana,Ariana,villa,À Vendre,620.0,2.0,3,0.0
Monastir,Monastir,Maison,À Vendre,220.0,1.0,7,120000.0
Sousse,Sousse,villa,À Vendre,350.0,,,1350000.0
Tunis,Tunis,Maison,À Vendre,290.0,5.0,10,395.0
Ariana,Ariana,villa,À Vendre,,,,620000.0
Monastir,Monastir,Maison,À Vendre,4.0,4.0,8,0.0
La Manouba,La_Manouba,villa,À Vendre,400.0,2.0,4,600000.0
Ben Arous,Ben_Arous,villa,À Vendre,620.0,3.0,4,850000.0
Sousse,Sousse,Maison,À Vendre,140.0,1.0,3,155000.0
Ben Arous,Ben_Arous,,À Vendre,,,,480.0
Mahdia,Mahdia,Maison,À Vendre,0.0,1.0,2,0.0
Médenine,Mdenine,villa,À Vendre,108.0,1.0,3,0.0
La Manouba,La_Manouba,Maison,À Vendre,80.0,1.0,3,170000.0
Sfax,Sfax,villa,À Vendre,220.0,4.0,3,480.0
Sousse,Sousse,Maison,À Vendre,140.0,1.0,2,0.0
Nabeul,Nabeul,villa,À Vendre,420.0,3.0,3,750000.0
Tunis,Tunis,villa,À Vendre,200.0,2.0,3,340.0
Médenine,Mdenine,Maison,À Vendre,250.0,2.0,6,285000.0
Ben Arous,Ben_Arous,Maison,À Vendre,97.0,1.0,2,180.0
Ben Arous,Ben_Arous,,À Vendre,85.0,2.0,4,215000.0
La Manouba,La_Manouba,Maison,À Vendre,230.0,2.0,6,440000.0
Bizerte,Bizerte,Maison,À Vendre,111.0,1.0,4,390000.0
La Manouba,La_Manouba,Maison,À Vendre,104.0,1.0,2,100000.0
Sousse,Sousse,Maison,À Vendre,69.0,2.0,3,150000.0
Kairouan,Kairouan,Maison,À Vendre,200.0,1.0,2,75000.0
Sousse,Sousse,,À Vendre,720.0,4.0,5,1200000.0
Sousse,Sousse,,À Vendre,720.0,4.0,5,1200000.0
Nabeul,Nabeul,villa,À Vendre,1000.0,5.0,6,1500000.0
Mahdia,Mahdia,Maison,À Vendre,1.0,1.0,3,150000.0
Tunis,Tunis,villa,À Vendre,627.0,3.0,7,950000.0
Kairouan,Kairouan,Maison,À Vendre,200.0,1.0,2,75000.0
La Manouba,La_Manouba,,À Vendre,300.0,1.0,4,670000.0
Tunis,Tunis,,À Vendre,100.0,1.0,1,140000.0
Sousse,Sousse,,À Vendre,720.0,4.0,5,1200000.0
Ariana,Ariana,Maison,À Vendre,507.0,3.0,5,599997.0
Ben Arous,Ben_Arous,Maison,À Vendre,269.0,2.0,5,1.0
Bizerte,Bizerte,villa,À Vendre,315.0,3.0,5,360000.0
Nabeul,Nabeul,Maison,À Vendre,100.0,1.0,2,105000000.0
Nabeul,Nabeul,villa,À Vendre,400.0,2.0,4,1500000.0
La Manouba,La_Manouba,Maison,À Vendre,110.0,1.0,3,180000.0
Nabeul,Nabeul,villa,À Vendre,,,5,550000.0
Mahdia,Mahdia,villa,À Vendre,,,3,0.0
La Manouba,La_Manouba,Maison,À Vendre,,,,570.0
Tunis,Tunis,,À Vendre,600.0,5.0,10,120000.0
Tunis,Tunis,Maison,À Vendre,130.0,3.0,11,290000.0
Nabeul,Nabeul,villa,À Vendre,319.0,3.0,3,0.0
Ariana,Ariana,villa,À Vendre,238.0,3.0,4,0.0
Ben Arous,Ben_Arous,,À Vendre,110.0,2.0,5,240000.0
Tunis,Tunis,villa,À Vendre,600.0,2.0,3,850000.0
Nabeul,Nabeul,villa,À Vendre,300.0,3.0,4,950000.0
Ariana,Ariana,villa,À Vendre,235.0,1.0,4,270000.0
Sousse,Sousse,Appartement,À Vendre,114.0,1.0,3,160000.0
Sousse,Sousse,Maison,À Vendre,359.0,2.0,4,330000.0
Ariana,Ariana,Maison,À Vendre,,,3,140000.0
Tunis,Tunis,villa,À Vendre,615.0,5.0,6,2.5
Tunis,Tunis,,À Vendre,110.0,2.0,4,1.5
Sfax,Sfax,Maison,À Vendre,170.0,1.0,3,400.0
Ben Arous,Ben_Arous,,À Vendre,160.0,1.0,5,0.0
Nabeul,Nabeul,villa,À Vendre,164.0,3.0,4,700000.0
Ben Arous,Ben_Arous,villa,À Vendre,325.0,2.0,4,450000.0
Mahdia,Mahdia,villa,À Vendre,400.0,2.0,3,0.0
Sousse,Sousse,villa,,,2.0,5,0.0
Ben Arous,Ben_Arous,villa,À Vendre,409.0,3.0,3,900000.0
Tunis,Tunis,villa,À Vendre,412.0,2.0,4,700000.0
La Manouba,La_Manouba,villa,À Vendre,300.0,2.0,4,499000.0
Ben Arous,Ben_Arous,villa,À Vendre,240.0,1.0,3,330000.0
Ben Arous,Ben_Arous,,À Vendre,590.0,4.0,5,790000.0
Ben Arous,Ben_Arous,villa,À Vendre,429.0,3.0,6,650000.0
Tunis,Tunis,,À Vendre,117.0,1.0,2,210000.0
Ben Arous,Ben_Arous,villa,À Vendre,354.0,2.0,3,700000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,1.0,3,350.0
Tunis,Tunis,villa,À Vendre,90.0,1.0,3,400000.0
Ariana,Ariana,villa,À Vendre,4000.0,4.0,7,2950000.0
Bizerte,Bizerte,villa,À Vendre,519.0,1.0,4,380.0
Sfax,Sfax,villa,À Vendre,1000.0,2.0,3,650000.0
Tunis,Tunis,Maison,À Vendre,85.0,2.0,4,320.0
Nabeul,Nabeul,villa,À Vendre,269.0,1.0,3,400000.0
Ben Arous,Ben_Arous,villa,À Vendre,354.0,1.0,4,700000.0
Tunis,Tunis,villa,À Louer,314.0,3.0,4,1365000.0
Ariana,Ariana,villa,À Vendre,450.0,2.0,5,850000.0
Tunis,Tunis,Maison,À Vendre,117.0,1.0,3,460000.0
Bizerte,Bizerte,Maison,À Vendre,1.0,1.0,4,0.0
Médenine,Mdenine,villa,À Vendre,450.0,4.0,3,0.0
Ariana,Ariana,,À Vendre,257.0,1.0,3,300.0
Nabeul,Nabeul,villa,À Vendre,1000.0,3.0,6,2100000.0
Médenine,Mdenine,,À Vendre,598.0,,,280.0
Nabeul,Nabeul,Maison,sale,,5.0,,600000.0
Ben Arous,Ben_Arous,villa,À Vendre,300.0,2.0,3,350000.0
Bizerte,Bizerte,Maison,À Vendre,95.0,1.0,3,125000.0
Ariana,Ariana,Maison,À Vendre,100.0,3.0,7,170.0
Tunis,Tunis,villa,À Vendre,100.0,2.0,4,229.0
Ben Arous,Ben_Arous,villa,À Vendre,372.0,1.0,4,550.0
Ben Arous,Ben_Arous,Maison,À Vendre,102.0,0.0,6,199000.0
Tunis,Tunis,,À Vendre,140.0,2.0,6,420000.0
Tunis,Tunis,villa,À Vendre,204.0,2.0,3,300000.0
Ben Arous,Ben_Arous,villa,À Vendre,200.0,3.0,8,255000.0
Sousse,Sousse,villa,À Vendre,300.0,3.0,8,149.0
