Region,Type,Area,#Bathrooms,#Bedrooms,Price
Ben Arous,Villa,420.0,1.0,3.0,1100000.0
Tunis,Appartement,236.0,1.0,4.0,130000.0
Ariana,Appartement,170.0,1.0,3.0,320000.0
Tunis,Villa,120.0,1.0,2.0,130000.0
Bizerte,Villa,110.0,1.0,4.0,165000.0
Tunis,Appartement,330.0,1.0,1.0,280000.0
Tunis,Appartement,312.0,1.0,1.0,130000.0
Ariana,Villa,426.0,1.0,4.0,790000.0
Tunis,Villa,244.0,2.0,5.0,1200000.0
Ariana,Villa,466.0,1.0,3.0,480000.0
Tunis,Villa,374.0,3.0,3.0,1200000.0
Tunis,Appartement,140.0,1.0,1.0,640000.0
Tunis,Appartement,140.0,1.0,2.0,640000.0
Ariana,Appartement,300.0,1.0,3.0,850000.0
Bizerte,Villa,350.0,1.0,2.0,1200000.0
Ariana,Villa,200.0,1.0,3.0,420000.0
Tunis,Appartement,400.0,1.0,3.0,2300000.0
Ariana,Villa,466.0,1.0,4.0,480000.0
Ariana,Villa,400.0,1.0,5.0,780000.0
Tunis,Villa,350.0,2.0,4.0,130000.0
Tunis,Villa,143.0,1.0,3.0,290000.0
Ben Arous,Appartement,297.0,2.0,3.0,320000.0
Ben Arous,Appartement,320.0,2.0,3.0,680000.0
Ben Arous,Villa,125.0,2.0,6.0,250000.0
Tunis,Villa,100.0,3.0,6.0,450000.0
Tunis,Appartement,80.0,2.0,3.0,420000.0
Sfax,Villa,512.0,1.0,3.0,450000.0
Tunis,Villa,500.0,4.0,3.0,1920000.0
Tunis,Villa,590.0,4.0,5.0,130000.0
La Manouba,Villa,518.0,3.0,4.0,130000.0
Tunis,Villa,350.0,3.0,4.0,850000.0
Ariana,Villa,575.0,4.0,4.0,130000.0
La Manouba,Villa,350.0,2.0,6.0,265000.0
Tunis,Appartement,400.0,2.0,4.0,860000.0
Nabeul,Villa,420.0,1.0,3.0,680000.0
Nabeul,Villa,385.0,3.0,6.0,1250000.0
Tunis,Villa,470.0,4.0,7.0,1500000.0
Médenine,Villa,220.0,2.0,4.0,130000.0
Sousse,Villa,405.0,2.0,5.0,750000.0
Sousse,Villa,180.0,2.0,2.0,150000.0
Ariana,Villa,764.0,2.0,2.0,950000.0
Ben Arous,Villa,440.0,4.0,8.0,130000.0
Ben Arous,Villa,85.0,3.0,8.0,160000.0
Nabeul,Villa,1085.0,2.0,4.0,600000.0
Ben Arous,Villa,350.0,5.0,6.0,550000.0
Ariana,Appartement,150.0,1.0,3.0,400000.0
Tunis,Villa,400.0,2.0,4.0,750000.0
Nabeul,Villa,530.0,2.0,4.0,650000.0
Tunis,Villa,120.0,1.0,3.0,130000.0
Ben Arous,Villa,504.0,2.0,3.0,380000.0
Tunis,Villa,400.0,4.0,8.0,750000.0
Tunis,Villa,411.0,5.0,8.0,1050000.0
Ben Arous,Villa,440.0,2.0,4.0,550000.0
Tunis,Villa,550.0,2.0,8.0,970000.0
Ariana,Villa,350.0,2.0,4.0,820000.0
Bizerte,Villa,103.0,2.0,4.0,130000.0
Bizerte,Villa,206.0,2.0,3.0,470000.0
Tunis,Villa,654.0,4.0,4.0,1800000.0
Tunis,Villa,400.0,3.0,5.0,1350000.0
Tunis,Appartement,136.0,1.0,3.0,500000.0
Nabeul,Villa,245.0,1.0,3.0,270000.0
Nabeul,Villa,743.0,2.0,4.0,660000.0
Ariana,Villa,324.0,2.0,3.0,350000.0
Ariana,Appartement,156.0,1.0,3.0,295000.0
Tunis,Villa,463.0,4.0,5.0,1550000.0
Ben Arous,Appartement,200.0,1.0,3.0,490000.0
Ben Arous,Appartement,147.0,1.0,4.0,379000.0
Nabeul,Villa,318.0,4.0,4.0,1000000.0
Tunis,Villa,520.0,4.0,6.0,980000.0
Tunis,Villa,172.0,1.0,3.0,130000.0
Ben Arous,Villa,90.0,1.0,3.0,130000.0
Ariana,Villa,620.0,1.0,4.0,360000.0
Nabeul,Villa,520.0,4.0,5.0,130000.0
Bizerte,Villa,270.0,2.0,3.0,350000.0
Ariana,Villa,380.0,6.0,5.0,1200000.0
Bizerte,Villa,252.0,2.0,1.0,449996.0
Ariana,Villa,85.0,2.0,4.0,175000.0
Ben Arous,Villa,245.0,2.0,8.0,400000.0
Ben Arous,Villa,300.0,3.0,7.0,540000.0
Ben Arous,Villa,90.0,2.0,7.0,155000.0
Ben Arous,Villa,187.0,1.0,3.0,230000.0
Ben Arous,Villa,300.0,1.0,5.0,280000.0
Ben Arous,Appartement,150.0,2.0,4.0,350000.0
Ben Arous,Villa,400.0,3.0,7.0,650000.0
Ariana,Villa,530.0,3.0,6.0,450000.0
Tunis,Villa,100.0,2.0,8.0,210000.0
Ben Arous,Villa,135.0,2.0,8.0,240000.0
Ben Arous,Villa,187.0,1.0,5.0,235000.0
Tunis,Villa,120.0,2.0,5.0,270000.0
Ariana,Villa,260.0,5.0,4.0,130000.0
Ariana,Villa,1000.0,3.0,6.0,130000.0
Tunis,Villa,350.0,4.0,4.0,1350000.0
Tunis,Villa,350.0,2.0,4.0,1600000.0
Tunis,Villa,280.0,2.0,8.0,130000.0
Ariana,Villa,350.0,1.0,4.0,420000.0
Nabeul,Villa,200.0,2.0,4.0,130000.0
Sfax,Villa,371.0,1.0,3.0,350000.0
Ben Arous,Villa,255.0,2.0,8.0,170000.0
Nabeul,Villa,260.0,2.0,3.0,1150000.0
Tunis,Villa,100.0,2.0,4.0,130000.0
Ariana,Villa,330.0,1.0,4.0,130000.0
Ben Arous,Villa,900.0,3.0,6.0,130000.0
Nabeul,Appartement,100.0,2.0,2.0,220000.0
Ariana,Villa,200.0,2.0,4.0,135000.0
La Manouba,Appartement,200.0,1.0,2.0,175000.0
Sousse,Villa,792.0,1.0,3.0,2300000.0
Le Kef,Villa,314.0,1.0,5.0,130000.0
Ben Arous,Villa,400.0,2.0,6.0,300000.0
Tunis,Villa,325.0,2.0,4.0,670000.0
Ariana,Appartement,150.0,2.0,3.0,550000.0
Nabeul,Villa,315.0,3.0,6.0,370000.0
Tunis,Villa,520.0,2.0,6.0,950000.0
Sousse,Villa,218.0,1.0,4.0,950000.0
Tunis,Villa,520.0,2.0,7.0,975000.0
Sousse,Villa,218.0,2.0,4.0,2300000.0
Tunis,Villa,493.0,3.0,6.0,2300000.0
Ariana,Villa,480.0,1.0,3.0,220000.0
Nabeul,Villa,400.0,2.0,4.0,850000.0
Ben Arous,Villa,518.0,3.0,6.0,800000.0
Sousse,Villa,349.0,2.0,3.0,590000.0
La Manouba,Villa,84.0,1.0,1.0,130000.0
Tunis,Villa,220.0,2.0,5.0,500000.0
Ariana,Villa,600.0,3.0,5.0,1200000.0
Ben Arous,Villa,582.0,3.0,6.0,950000.0
Tunis,Villa,500.0,3.0,8.0,680000.0
Tunis,Villa,327.0,3.0,4.0,1150000.0
Sousse,Villa,570.0,3.0,6.0,1400000.0
Tunis,Villa,110.0,1.0,3.0,180000.0
Sousse,Villa,228.0,1.0,4.0,288000.0
Tunis,Appartement,112.0,1.0,2.0,220000.0
Ariana,Villa,326.0,1.0,2.0,370000.0
Tunis,Villa,236.0,2.0,5.0,1100000.0
Ben Arous,Appartement,117.0,1.0,3.0,270000.0
Tunis,Villa,500.0,2.0,1.0,1600000.0
Bizerte,Villa,115.0,2.0,3.0,300000.0
Monastir,Villa,203.0,1.0,2.0,130000.0
Ben Arous,Appartement,120.0,1.0,2.0,240000.0
Tunis,Villa,268.0,3.0,5.0,570000.0
Tunis,Villa,300.0,3.0,3.0,260000.0
Tunis,Villa,450.0,4.0,5.0,1200000.0
Nabeul,Villa,300.0,1.0,3.0,250000.0
Ariana,Villa,425.0,2.0,7.0,130000.0
Nabeul,Villa,280.0,3.0,4.0,725000.0
Tunis,Villa,420.0,3.0,4.0,130000.0
Sfax,Villa,630.0,2.0,3.0,305000.0
Sfax,Villa,870.0,1.0,3.0,130000.0
Sfax,Villa,621.6,2.0,3.0,780000.0
Sfax,Villa,800.0,2.0,4.0,725000.0
Sfax,Villa,60.6,1.0,2.0,130000.0
Ariana,Villa,150.0,2.0,8.0,178000.0
Tunis,Villa,200.0,2.0,4.0,370000.0
Monastir,Villa,320.0,3.0,6.0,217000.0
Sousse,Villa,450.0,2.0,4.0,130000.0
Nabeul,Villa,400.0,3.0,7.0,750000.0
Ariana,Villa,435.0,1.0,3.0,240000.0
Ariana,Villa,700.0,3.0,4.0,130000.0
Ariana,Villa,300.0,3.0,5.0,1400000.0
Tunis,Villa,60.0,1.0,1.0,130000.0
Ben Arous,Villa,180.0,2.0,4.0,280000.0
Sfax,Villa,400.0,3.0,6.0,130000.0
Bizerte,Villa,60.0,1.0,4.0,200000.0
Sfax,Villa,650.0,2.0,5.0,470000.0
Ben Arous,Villa,350.0,3.0,6.0,130000.0
Tunis,Appartement,100.0,2.0,3.0,320000.0
Tunis,Villa,456.0,4.0,7.0,2300000.0
Ariana,Villa,672.0,3.0,5.0,940000.0
Tunis,Villa,228.0,4.0,5.0,450000.0
Le Kef,Villa,576.0,2.0,8.0,680000.0
Sousse,Appartement,400.0,1.0,3.0,280000.0
Ariana,Villa,700.0,4.0,4.0,130000.0
Tunis,Villa,350.0,2.0,2.0,585000.0
Tunis,Villa,414.0,3.0,7.0,720000.0
Ben Arous,Villa,500.0,1.0,3.0,130000.0
La Manouba,Villa,100.0,2.0,5.0,130000.0
Tunis,Villa,365.0,3.0,8.0,1650000.0
Sousse,Villa,600.0,2.0,8.0,850000.0
Ariana,Villa,178.0,1.0,3.0,350000.0
Sfax,Appartement,500.0,1.0,3.0,450000.0
Tunis,Villa,360.0,1.0,3.0,750000.0
Tunis,Villa,450.0,3.0,7.0,130000.0
La Manouba,Villa,250.0,2.0,8.0,130000.0
Nabeul,Villa,133.0,1.0,2.0,155000.0
Ariana,Villa,350.0,2.0,3.0,950000.0
Kairouan,Villa,380.0,2.0,5.0,680000.0
Sfax,Villa,420.0,3.0,5.0,130000.0
Ben Arous,Villa,463.0,1.0,3.0,530000.0
Sousse,Appartement,200.0,2.0,4.0,130000.0
Le Kef,Villa,230.0,3.0,7.0,130000.0
Ben Arous,Villa,220.0,2.0,6.0,130000.0
Nabeul,Villa,87.0,2.0,2.0,130000.0
Ben Arous,Villa,400.0,3.0,5.0,780000.0
Ariana,Appartement,190.0,2.0,3.0,780000.0
Ben Arous,Villa,172.0,2.0,4.0,130000.0
Ben Arous,Villa,235.0,2.0,3.0,130000.0
Ariana,Villa,420.0,2.0,4.0,130000.0
Sousse,Villa,420.0,2.0,4.0,650000.0
Tunis,Villa,253.0,2.0,4.0,600000.0
Nabeul,Appartement,100.0,1.0,2.0,130000.0
Tunis,Villa,400.0,3.0,6.0,850000.0
Tunis,Villa,201.0,1.0,2.0,680000.0
Tunis,Villa,700.0,3.0,5.0,1800000.0
Tunis,Villa,757.0,1.0,3.0,520000.0
Nabeul,Villa,420.0,2.0,4.0,1700000.0
Nabeul,Villa,150.0,2.0,4.0,300000.0
Ben Arous,Villa,800.0,3.0,4.0,1900000.0
Tunis,Villa,1050.0,2.0,6.0,2300000.0
Nabeul,Villa,320.0,3.0,4.0,780000.0
Sousse,Villa,300.0,2.0,5.0,1250000.0
Ariana,Villa,235.0,1.0,3.0,130000.0
Ben Arous,Villa,232.0,2.0,5.0,435000.0
Ariana,Villa,469.0,1.0,7.0,1400000.0
Ariana,Appartement,188.0,2.0,3.0,830000.0
Tunis,Villa,200.0,2.0,5.0,130000.0
Nabeul,Villa,189.0,1.0,3.0,250000.0
Tunis,Villa,661.0,2.0,4.0,650000.0
Bizerte,Villa,148.0,1.0,1.0,280000.0
Tunis,Appartement,414.0,1.0,3.0,900000.0
Ariana,Villa,430.0,2.0,3.0,850000.0
Nabeul,Villa,350.0,2.0,4.0,800000.0
Nabeul,Villa,840.0,5.0,5.0,2300000.0
Nabeul,Villa,360.0,3.0,5.0,850000.0
Bizerte,Villa,400.0,4.0,7.0,530000.0
Ben Arous,Appartement,120.0,2.0,2.0,130000.0
Tunis,Villa,225.0,2.0,3.0,450000.0
Nabeul,Villa,150.0,2.0,6.0,480000.0
Sousse,Villa,314.0,2.0,3.0,830000.0
Tunis,Villa,344.0,2.0,3.0,670000.0
Ben Arous,Appartement,200.0,2.0,4.0,480000.0
Bizerte,Villa,609.0,1.0,3.0,520000.0
Tunis,Villa,520.0,2.0,7.0,130000.0
Nabeul,Villa,200.0,3.0,1.0,250002.0
Tunis,Villa,105.0,1.0,3.0,170000.0
Ben Arous,Villa,210.0,2.0,6.0,380000.0
Ben Arous,Villa,400.0,2.0,8.0,320000.0
Ben Arous,Villa,168.0,1.0,4.0,230000.0
Sousse,Appartement,70.0,1.0,2.0,130000.0
Sfax,Appartement,220.0,1.0,4.0,230000.0
Ben Arous,Appartement,117.0,1.0,3.0,150000.0
Ariana,Villa,640.0,4.0,4.0,1700000.0
Ariana,Villa,300.0,5.0,5.0,130000.0
Tunis,Villa,334.0,5.0,7.0,1800000.0
Nabeul,Villa,120.0,1.0,2.0,130000.0
Ariana,Villa,636.0,2.0,4.0,320000.0
Ben Arous,Villa,150.0,1.0,3.0,130000.0
Ben Arous,Villa,350.0,3.0,4.0,2300000.0
Nabeul,Villa,240.0,2.0,4.0,450000.0
Sousse,Villa,520.0,1.0,4.0,420000.0
Bizerte,Villa,538.0,3.0,8.0,750000.0
Nabeul,Villa,345.0,2.0,4.0,130000.0
Tunis,Villa,270.0,3.0,7.0,550000.0
Nabeul,Villa,217.0,2.0,5.0,650000.0
Sfax,Villa,140.0,1.0,4.0,130000.0
Tunis,Villa,370.0,3.0,3.0,1250000.0
Nabeul,Villa,536.0,3.0,3.0,850000.0
Sfax,Villa,870.0,1.0,2.0,420000.0
Monastir,Villa,200.0,2.0,5.0,600000.0
Ariana,Villa,238.0,3.0,4.0,370000.0
Nabeul,Villa,211.0,6.0,8.0,470000.0
Sousse,Villa,125.0,2.0,2.0,160000.0
Sousse,Villa,500.0,1.0,3.0,460000.0
Le Kef,Villa,230.0,1.0,2.0,200000.0
Tunis,Appartement,95.0,2.0,4.0,680000.0
Ben Arous,Villa,582.0,1.0,6.0,950000.0
Nabeul,Villa,900.0,4.0,5.0,2099999.0
Tunis,Villa,350.0,2.0,4.0,2300000.0
Ben Arous,Villa,520.0,4.0,8.0,600000.0
Tunis,Villa,100.0,1.0,3.0,130000.0
Gabès,Villa,350.0,1.0,5.0,130000.0
Sfax,Villa,684.0,2.0,5.0,130000.0
Sousse,Villa,350.0,2.0,4.0,130000.0
Ariana,Villa,230.0,2.0,5.0,130000.0
Nabeul,Villa,230.0,1.0,5.0,130000.0
Bizerte,Villa,121.0,2.0,4.0,280000.0
Tunis,Appartement,205.0,2.0,3.0,580000.0
Nabeul,Appartement,433.0,1.0,2.0,850000.0
Nabeul,Villa,834.0,2.0,4.0,1460000.0
Zaghouan,Villa,400.0,1.0,4.0,230000.0
Tunis,Appartement,155.0,2.0,3.0,570000.0
Sousse,Villa,260.0,2.0,3.0,130000.0
Médenine,Villa,500.0,2.0,3.0,130000.0
Ariana,Villa,380.0,1.0,3.0,410000.0
Nabeul,Villa,90.0,2.0,2.0,300000.0
Ariana,Appartement,207.0,2.0,3.0,265000.0
Bizerte,Villa,430.0,1.0,3.0,600000.0
Tunis,Villa,479.0,3.0,6.0,900000.0
Sousse,Villa,500.0,3.0,6.0,1200000.0
Ben Arous,Villa,260.0,1.0,5.0,130000.0
Tunis,Villa,90.0,1.0,2.0,130000.0
Ben Arous,Appartement,125.0,2.0,3.0,130000.0
Ben Arous,Appartement,200.0,1.0,4.0,350000.0
La Manouba,Villa,400.0,2.0,7.0,630000.0
La Manouba,Villa,500.0,3.0,6.0,130000.0
Tunis,Villa,450.0,2.0,4.0,1400000.0
Bizerte,Villa,504.0,1.0,3.0,130000.0
Sfax,Villa,350.0,1.0,3.0,130000.0
Kairouan,Villa,340.0,1.0,3.0,410000.0
Sousse,Villa,465.0,2.0,4.0,1300000.0
Nabeul,Villa,450.0,3.0,4.0,400000.0
Zaghouan,Villa,610.0,4.0,5.0,790000.0
Tunis,Villa,749.0,3.0,6.0,1700000.0
Nabeul,Villa,500.0,2.0,3.0,700000.0
